#command,param1,param2,param3,param4,
#,
print,新約 とある魔術の禁書目録１巻１章,
stage,10000002,
bgm,play,1,1.5,
fade,in,1.5,#000000,0,
wait,1,
talk,start,
wait,0.5,
talk,100201001,,,,
talk,100201002,,,,
chara5,4001011,
+chara5.fade,in,1,
wait,1,
talk,100201003,,,,
talk,100201004,,,,
talk,100201005,,,,
talk,100201006,,,,
talk,100201007,,,,
talk,100201008,,,,
talk,100201009,,,,
talk,100201010,,,,
talk,100201011,,,,
+camera.shake,"(0.10,0)","(10,0)",1,
talk,100201012,,,,
talk,100201013,,,,
talk,100201014,,,,
talk,100201015,,,,
talk,100201016,,,,
+chara5.fade,out,1,
wait,1,
chara5.remove,
talk,100201017,,,,
talk,100201018,,,,
image,1,p1,
p1.fade,in,1.5,
talk,100201019,,,,
talk,100201020,,,,
talk,100201021,,,,
talk,100201022,,,,
talk,100201023,,,,
talk,100201024,,,,
talk,100201025,,,,
talk,100201026,,,,
talk,100201027,,,,
talk,100201028,,,,
talk,100201029,,,,
p1.fade,out,1.5,
p1.remove,
talk,100201030,,,,
talk,100201031,,,,
talk,end,























