#command,param1,param2,param3,param4,
#,
print,とある魔術の禁書目録5巻チャプター19,
control,1,
+stage,13001004,,,,
bgm,stop,
+chara,13000101,一方通行,22,
+chara,54000101,芳川 桔梗,10,
+place,芳川 桔梗,一方通行,
+image,100010519,1,シーン01,,
+シーン01.fade,in,0.1,
bgm,play,30010008,1,,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,

wait,2,
talk,1,一方通行,,,
+talk,show,1,,,

fade,out,1,#000000,0,
se,play,300200000190,,,
talk,show,0,
image,100010519,2,シーン02,,
シーン02.fade,in,0.5,
シーン01.fade,out,0.1,
se,play,0300300000130,,,
wait,1,
fade,in,1,#000000,0,
se,play,0300200000860,,,

talk,2,一方通行,,,
+talk,show,1,,,
talk,3,芳川 桔梗,,,
talk,4,一方通行,,,
talk,5,芳川 桔梗,,,
talk,6,一方通行,,,
talk,7,芳川 桔梗,,,
fade,out,1,#000000,0,
talk,show,0,
+一方通行.facial,22,
+芳川 桔梗.facial,20,
+focus,on,一方通行,
シーン02.fade,out,0.1,
fade,in,1,#000000,0,
talk,8,一方通行,,,
+talk,show,1,,,
talk,9,一方通行,,,
bgm,stop,
talk,10,芳川 桔梗,,,
bgm,play,30010011,1,,
talk,11,一方通行,,,
talk,12,芳川 桔梗,,,
talk,13,一方通行,,,
talk,14,芳川 桔梗,,,
talk,15,一方通行,,,
bgm,play,30010012,1,,
talk,16,芳川 桔梗,,,
talk,17,一方通行,,,

talk,show,0,
image,100010519,3,シーン03,,
シーン03.fade,in,0.5,
シーン02.fade,out,0.1,
wait,1,

talk,18,芳川 桔梗,,,
+talk,show,1,,,
talk,19,芳川 桔梗,,,
fade,out,1,#000000,0,
talk,show,0,
+一方通行.facial,20,
+芳川 桔梗.facial,13,
+focus,on,芳川 桔梗,
シーン03.fade,out,0.1,
fade,in,1,#000000,0,
talk,20,芳川 桔梗,,,
+talk,show,1,,,
talk,21,芳川 桔梗,,,
talk,22,芳川 桔梗,,,
talk,23,芳川 桔梗,,,
talk,24,一方通行,,,
talk,25,芳川 桔梗,,,
talk,26,一方通行,,,
bgm,play,30010014,1,,
talk,27,芳川 桔梗,,,
talk,28,一方通行,,,
talk,29,芳川 桔梗,,,

wait,1,
fade,out,1,#FFFFFF,
bgm,stop,,1,
wait,1,
[END],













