#command,param1,param2,param3,param4,
#,
print,とある魔術の禁書目録5巻チャプター30,
control,1,
bgm,stop,
+image,100010530,1,シーン01,,
+シーン01.fade,in,0.1,
bgm,play,30010022,1,,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
+se,play,300100000210,,,

wait,1,
talk,1,芳川 桔梗,,,
+talk,show,1,,,
talk,2,カエル顔の医者,,,
talk,3,芳川 桔梗,,,
talk,4,カエル顔の医者,,,
talk,5,カエル顔の医者,,,
talk,6,カエル顔の医者,,,
talk,7,芳川 桔梗,,,
talk,8,カエル顔の医者,,,
talk,9,カエル顔の医者,,,
talk,10,芳川 桔梗,,,
talk,11,カエル顔の医者,,,
talk,12,芳川 桔梗,,,
talk,13,カエル顔の医者,,,
talk,14,カエル顔の医者,,,
talk,15,カエル顔の医者,,,
talk,16,芳川 桔梗,,,
talk,17,カエル顔の医者,,,
talk,18,カエル顔の医者,,,
talk,19,芳川 桔梗,,,
talk,20,カエル顔の医者,,,
talk,21,芳川 桔梗,,,
talk,22,カエル顔の医者,,,
talk,23,芳川 桔梗,,,
talk,24,カエル顔の医者,,,
talk,25,カエル顔の医者,,,
talk,26,芳川 桔梗,,,

talk,show,0,
fade,out,1,#FFFFFF,0,
image,100010519,2,シーン02,,
シーン02.fade,in,0.5,
シーン01.fade,out,0.1,
fade,in,1,#FFFFFF,0,
wait,1,

talk,27,一方通行,,,
+talk,show,1,,,

talk,show,0,
fade,out,1,#FFFFFF,0,
image,100010530,3,シーン03,,
シーン03.fade,in,0.5,
シーン02.fade,out,0.1,
fade,in,1,#FFFFFF,0,
wait,1,

talk,28,芳川 桔梗,,,
+talk,show,1,,,

wait,1,
fade,out,1,#FFFFFF,
bgm,stop,,1,
wait,1,
[END],













