#command,param1,param2,param3,param4,
#,
print,とある魔術の禁書目録7巻チャプター40,
control,1,
bgm,stop,
+image,999999999,0,シーン00,
+image,100010430,1,シーン01,,
+fade,in,1,#000000,0,
+シーン00.fade,in,0.1,
+talk,start,
+talk,show,0,
bgm,play,30010002,1,,
シーン01.fade,in,0.5,
シーン00.fade,out,0.1,
wait,2,
image,100010740,2,シーン02,,
シーン02.fade,in,0.5,
シーン01.fade,out,0.1,
wait,2,
image,100010740,3,シーン03,,
シーン03.fade,in,0.5,
シーン02.fade,out,0.1,
wait,1,
talk,1,神裂 火織,,,
+talk,show,1,,,
talk,2,上条 当麻,,,
talk,show,0,
talk,show,0,
image,100010740,4,シーン04,,
シーン04.fade,in,0.5,
シーン03.fade,out,0.1,
wait,1,
talk,3,神裂 火織,,,
+talk,show,1,,,
talk,4,上条 当麻,,,
talk,5,神裂 火織,,,
talk,6,神裂 火織,,,
talk,7,上条 当麻,,,
talk,8,神裂 火織,,,
talk,9,神裂 火織,,,
talk,10,上条 当麻,,,
talk,11,神裂 火織,,,
talk,12,神裂 火織,,,
talk,13,上条 当麻,,,
talk,show,0,
image,100010740,5,シーン05,,
シーン05.fade,in,0.5,
シーン04.fade,out,0.1,
wait,1,
talk,14,神裂 火織,,,
+talk,show,1,,,
talk,15,上条 当麻,,,
talk,16,神裂 火織,,,
talk,17,神裂 火織,,,
talk,18,神裂 火織,,,
bgm,play,30010022,1,,
talk,show,0,
image,100010740,6,シーン06,
シーン06.fade,in,0.5,
シーン05.fade,out,0.1,
wait,0.5,
talk,19,上条 当麻,,,
+talk,show,1,,,
talk,20,神裂 火織,,,
talk,21,上条 当麻,,,
talk,22,上条 当麻,,,
talk,23,上条 当麻,,,
talk,24,上条 当麻,,,
talk,25,上条 当麻,,,
talk,26,上条 当麻,,,
talk,27,神裂 火織,,,
talk,28,上条 当麻,,,
talk,29,上条 当麻,,,
talk,show,0,
image,100010740,7,シーン07,,
シーン07.fade,in,0.5,
シーン06.fade,out,0.1,
wait,1,
talk,30,神裂 火織,,,
+talk,show,1,,,
fade,out,1.5,#000000,0,
talk,show,0,
+stage,18001001,,,,
+chara,26000101,ローラ,10,
+chara,24000101,ステイル,10,
+place,ステイル,ローラ,
+focus,on,ステイル,
bgm,play,30010010,,,
シーン07.fade,out,0.1,
fade,in,1.5,#000000,0,
talk,31,ステイル,,,
+talk,show,1,,,
talk,32,ステイル,,,
talk,33,ローラ,,,
talk,34,ステイル,,,
talk,35,ステイル,,,
talk,36,ローラ,,,
talk,37,ローラ,,,
talk,38,ローラ,,,
talk,39,ローラ,,,
talk,40,ローラ,,,
talk,41,ステイル,,,
talk,42,ステイル,,,
talk,43,ローラ,,,
talk,44,ステイル,,,
talk,45,ローラ,,,
talk,46,ローラ,,,
talk,47,ローラ,,,
talk,48,ステイル,,,
talk,show,0,
image,100010740,11,シーン11,
シーン11.fade,in,0.5,
wait,1,
talk,49,ローラ,,,
+talk,show,1,,,
talk,50,ローラ,,,
talk,51,ローラ,,,
talk,52,ローラ,,,
fade,out,1,#000000,0,
talk,show,0,
+ステイル.facial,16,
+focus,on,ステイル,
+place,ステイル,
シーン11.fade,out,0.1,,0,
fade,in,1,#000000,0,
wait,1,
talk,53,ステイル,,,
+talk,show,1,,,
wait,1,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],




