#command,param1,param2,param3,param4,
#,
print,とある魔術の禁書目録13巻 チャプター25,
control,1,
bgm,stop,
+image,999999999,0,シーン00,
+image,100011325,1,シーン01,
+fade,in,1,#000000,0,
+シーン00.fade,in,0.1,
+talk,start,,,,
+talk,show,0,
bgm,play,30010017,1,,
シーン01.fade,in,0.5,
se,play,300700000640,,,
シーン00.fade,out,0.1,
wait,1,
talk,1,木原 数多,,,
+talk,show,1,,,
talk,2,木原 数多,,,
image,100011325,2,シーン02,,
シーン02.fade,in,0.5,
se,play,300700000010,,,
+シーン02.shake,"(0.10,0)","(10,0)",1,
シーン01.fade,out,0.5,
wait,1,
talk,3,一方通行,,,
image,100011325,3,シーン03,
シーン03.fade,in,0.5,,,
シーン02.fade,out,0.5,
wait,1,
talk,4,木原 数多,,,
talk,5,一方通行,,,
talk,6,木原 数多,,,
talk,7,木原 数多,,,
image,100011325,4,シーン04,
シーン04.fade,in,0.5,
se,play,300700000020,,,
シーン03.fade,out,0.5,
wait,1,
talk,8,木原 数多,,,
image,100011325,5,シーン05,
シーン05.fade,in,0.5,,,
se,play,300700000040,,,
+シーン05.shake,"(0.10,0)","(10,0)",1,
シーン04.fade,out,0.5,
wait,1,
talk,9,木原 数多,,,
talk,10,一方通行,,,
talk,11,一方通行,,,
talk,12,一方通行,,,
talk,13,一方通行,,,
+se,play,300200000900,,,
bgm,stop,
image,100011325,6,シーン06,,
シーン06.fade,in,0.5,,,
se,play,300700000640,,,
シーン05.fade,out,0.5,
wait,1,
talk,14,一方通行,,,
image,100011325,7,シーン07,,
シーン07.fade,in,0.5,,,
se,play,300100000030,,,
シーン06.fade,out,0.5,,,
wait,1,,,,
talk,15,一方通行,,,
talk,show,0,
image,100011325,8,シーン08,,
シーン08.fade,in,0.5,,,
se,play,300700000040,
+シーン08.shake,"(0.10,0)","(10,0)",1,
シーン07.fade,out,0.5,,,
wait,1,
talk,16,木原 数多,,,
+talk,show,1,,,
talk,17,木原 数多,,,
image,100011325,9,シーン09,
シーン09.fade,in,0.5,
se,play,300200000900,,,
シーン08.fade,out,0.5,,,
wait,1,
bgm,play,30010013,1,,
talk,18,木原 数多,,,
talk,19,一方通行,,,
talk,20,木原 数多,,,
image,100011325,10,シーン10,
シーン10.fade,in,0.5,
シーン09.fade,out,0.5,
wait,1,
talk,21,木原 数多,,,
+se,play,300700000640,,,
wait,0.5,
se,play,300200000550,,,
talk,22,木原 数多,,,
image,100011325,11,シーン11,
シーン11.fade,in,0.5,,,
se,play,300200000550,,,
+シーン11.shake,"(0.10,0)","(10,0)",1,
シーン10.fade,out,0.5,
wait,1,
talk,23,木原 数多,,,
image,100011325,12,シーン12,
シーン12.fade,in,0.5,
シーン11.fade,out,0.5,
wait,1,,,,
talk,24,木原 数多,,,
talk,25,木原 数多,,,
+se,play,300700000020,,,
talk,26,木原 数多,,,
+se,play,300700000020,,,
talk,27,木原 数多,,,
talk,28,木原 数多,,,
talk,29,木原 数多,,,
image,100011325,13,シーン13,
シーン13.fade,in,0.5,,,
シーン12.fade,out,0.5,
wait,1,
talk,30,木原 数多,,,
talk,31,木原 数多,,,
image,100011325,14,シーン14,,
シーン14.fade,in,0.5,,,
se,play,300700000620,,,
+シーン14.shake,"(0.10,0)","(10,0)",1,
シーン13.fade,out,0.5,
wait,1,
talk,32,木原 数多,,,
image,100011325,15,シーン15,,
シーン15.fade,in,0.5,,,
シーン14.fade,out,0.5,
wait,1,
talk,33,木原 数多,,,
talk,34,木原 数多,,,
talk,35,木原 数多,,,
+se,play,300700000020,,,
talk,36,木原 数多,,,
+se,play,300700000020,,,
talk,37,木原 数多,,,
+se,play,300700000020,,,
bgm,stop,
+se,play,300200000480,,,
talk,38,木原 数多,,,
image,100011325,16,シーン16,,
シーン16.fade,in,0.5,,,
シーン15.fade,out,0.5,
wait,1,
talk,39,インデックス,,,
wait,2,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],

