#command,param1,param2,param3,param4,
#,
print,とある魔術の禁書目録13巻 チャプター29,
stage,7018003,,,,
control,1,
bgm,stop,
+chara,1000501,上条 当麻,10,
+chara,15000201,風斬 氷華,10,
+place,風斬 氷華,上条 当麻,
+image,999999999,0,シーン00,
+image,100011329,1,シーン01,
+fade,in,1,#000000,0,
+シーン00.fade,in,0.1,
+talk,start,,,,
+talk,show,0,
bgm,play,30010013,1,,
シーン01.fade,in,0.5,
シーン00.fade,out,0.1,
wait,1,
talk,1,木原 数多,,,
+talk,show,1,
image,100011329,2,シーン02,,
シーン02.fade,in,0.5,
se,play,300700000010,,,
+シーン02.shake,"(0.10,0)","(10,0)",1,
シーン01.fade,out,0.1,
wait,1,
talk,2,木原 数多,,,
talk,3,木原 数多,,,
talk,4,木原 数多,,,
talk,5,木原 数多,,,
talk,6,木原 数多,,,
talk,show,0,,,
bgm,stop,
image,100011329,3,シーン03,,
シーン03.fade,in,0.5,,,
シーン02.fade,out,0.1,
wait,1,
talk,7,一方通行,,,
+talk,show,1,
talk,show,0,,,
se,play,300300000170,,,
image,100011329,4,シーン04,
シーン04.fade,in,0.5,
se,play,300300000330,,,
+シーン04.shake,"(0.10,0)","(10,0)",1,
シーン03.fade,out,0.1,
wait,1,,,,
fade,out,1,#000000,0,
wait,1,
talk,show,0,
image,100011329,5,シーン05,
シーン05.fade,in,0.5,
fade,in,1,#000000,0,
シーン04.fade,out,0.1,
wait,1,
bgm,play,30010008,1,,
talk,8,上条 当麻,,,
+talk,show,1,,,
talk,9,上条 当麻,,,
talk,10,上条 当麻,,,
image,100011329,6,シーン06,,
シーン06.fade,in,0.5,,,
se,play,300700000350,,,
+シーン06.shake,"(0.10,0)","(10,0)",1,
シーン05.fade,out,0.1,
bgm,stop,

talk,11,上条 当麻,,,
talk,12,上条 当麻,,,
talk,show,0,,,
bgm,play,30010008,1,,
image,100011329,7,シーン07,
シーン07.fade,in,0.5,,,
シーン06.fade,out,0.1,
wait,1,
talk,13,？？？,,,
+talk,show,1,,,
talk,14,アックア,,,
talk,15,アックア,,,
image,100011329,8,シーン08,
シーン08.fade,in,0.5,,,
シーン07.fade,out,0.1,
wait,1,
talk,16,アックア,,,
talk,17,上条 当麻,,,
talk,18,上条 当麻,,,
talk,19,アックア,,,
talk,show,0,
image,100011329,9,シーン09,
シーン09.fade,in,0.5,,,
se,play,300400000070,,,
wait,1,
talk,20,アックア,,,
+talk,show,1,,,
talk,21,アックア,,,
talk,22,アックア,,,
talk,23,アックア,,,
シーン09.fade,out,0.5,
talk,24,上条 当麻,,,
talk,25,アックア,,,
talk,26,アックア,,,
talk,27,上条 当麻,,,
talk,28,上条 当麻,,,
fade,out,1,#000000,0,
talk,show,0,
se,play,300700000350,,,
image,100011329,10,シーン10,
シーン10.fade,in,0.5,,,
fade,in,1,#000000,0,
シーン08.fade,out,0.1,
wait,1,,,,
talk,29,上条 当麻,,,
+talk,show,1,,,
fade,out,1,#000000,0,
talk,show,0,
bgm,stop,
wait,1,
image,100011329,11,シーン11,
シーン11.fade,in,0.5,,,
fade,in,1,#000000,0,
シーン10.fade,out,0.1,,,
wait,1,
bgm,play,30010022,1,,
talk,30,上条 当麻,,,
+talk,show,1,,,
talk,31,上条 当麻,,,
fade,out,1,#FFFFFF,0,
talk,show,0,
上条 当麻.facial,12,
風斬 氷華.facial,20,
+focus,on,上条 当麻,
シーン11.fade,out,0.1,
wait,1,
fade,in,1,#FFFFFF,0,
screen.effect,ef_com_00000_001_001_00,"(0,0)",1,0,
+se,play,0300300000190,,,
talk,32,上条 当麻,,,
+talk,show,1,,,
talk,33,上条 当麻,,,
talk,34,風斬 氷華,,,
talk,35,上条 当麻,,,
talk,36,風斬 氷華,,,
talk,37,風斬 氷華,,,
talk,38,風斬 氷華,,,
talk,39,風斬 氷華,,,
talk,40,風斬 氷華,,,
talk,41,風斬 氷華,,,
talk,42,風斬 氷華,,,
talk,43,風斬 氷華,,,
talk,44,上条 当麻,,,
talk,45,風斬 氷華,,,
talk,46,上条 当麻,,,
talk,47,上条 当麻,,,
talk,48,風斬 氷華,,,
talk,49,上条 当麻,,,
talk,50,上条 当麻,,,
talk,51,上条 当麻,,,
talk,52,上条 当麻,,,
talk,53,上条 当麻,,,
talk,54,上条 当麻,,,
talk,show,0,,,
image,100011329,12,シーン12,
シーン12.fade,in,0.5,
wait,1,
talk,55,上条 当麻,,,
+talk,show,1,,,
talk,56,上条 当麻,,,
talk,57,上条 当麻,,,
wait,2,
fade,out,1,#FFFFFF,0,
screen.effect,delete,
bgm,stop,
wait,1,
[END],

