#command,param1,param2,param3,param4,
#,
print,とある魔術の禁書目録13巻 チャプター30,
stage,7015003,,,,
control,1,
bgm,stop,
+chara,13001001,一方通行,10,
+chara,64000101,アックア,10,
+place,一方通行,
+image,999999999,0,シーン00,
+image,100011330,1,シーン01,
+fade,in,1,#000000,0,
+シーン00.fade,in,0.1,
+talk,start,
+talk,show,0,
bgm,play,30010008,1,,
シーン01.fade,in,0.5,
シーン00.fade,out,0.1,
wait,1,
talk,1,インデックス,,,
+talk,show,1,
talk,2,インデックス,,,
image,100011330,2,シーン02,
シーン02.fade,in,0.5,
シーン01.fade,out,0.1,
wait,1,,,,
talk,3,御坂 美琴,,,
talk,4,御坂 美琴,,,
talk,5,インデックス,,,
talk,6,御坂 美琴,,,
image,100011330,3,シーン03,,
シーン03.fade,in,0.5,
se,play,300200000240,,,
シーン02.fade,out,0.1,,,
wait,1,
talk,7,一方通行,,,
talk,8,？？？,,,
talk,9,一方通行,,,
talk,10,？？？,,,
talk,11,一方通行,,,
fade,out,1,#000000,0,
talk,show,0,
一方通行.facial,20,
+focus,off,一方通行,
シーン03.fade,out,0.1,
wait,1,
fade,in,1,#000000,0,
talk,12,？？？,,,
+talk,show,1,
talk,13,？？？,,,
talk,14,？？？,,,
talk,15,一方通行,,,
talk,16,？？？,,,
talk,17,一方通行,,,
talk,18,？？？,,,
talk,19,一方通行,,,
talk,20,？？？,,,
talk,21,一方通行,,,
talk,22,一方通行,,,
talk,23,？？？,,,
talk,24,？？？,,,
talk,25,？？？,,,
talk,26,？？？,,,
talk,27,一方通行,,,
talk,28,？？？,,,
talk,29,一方通行,,,
talk,30,？？？,,,
talk,31,一方通行,,,
talk,32,？？？,,,
talk,show,0,
image,100011330,4,シーン04,,
シーン04.fade,in,0.5,
wait,1,
talk,33,一方通行,,,
+talk,show,1,
talk,34,？？？,,,
talk,35,？？？,,,
fade,out,1,#000000,0,
+se,play,300700000090,,,
wait,1,
se,play,300100000010,
talk,show,0,,,
bgm,stop,
image,100011330,5,シーン05,
シーン05.fade,in,0.5,
fade,in,1,#000000,0,
シーン04.fade,out,0.1,
wait,1,
bgm,play,30010011,1,,
se,play,300100000020,,,
talk,36,アックア,,,
+talk,show,1,
talk,37,テッラ,,,
talk,38,アックア,,,
talk,39,テッラ,,,
fade,out,1,#000000,0,
talk,show,0,
stage,007012003,,,,
アックア.facial,13,
+place,アックア,
+focus,on,アックア,
シーン05.fade,out,0.1,
wait,1,
fade,in,1,#000000,0,
screen.effect,ef_com_00000_001_001_00,"(0,0)",1,0,
+se,play,0300300000190,,,
talk,40,アックア,,,
+talk,show,1,
talk,41,テッラ,,,
talk,42,テッラ,,,
talk,43,アックア,,,
talk,44,テッラ,,,
talk,45,アックア,,,
talk,46,テッラ,,,
talk,47,アックア,,,
talk,48,テッラ,,,
talk,49,アックア,,,
talk,50,テッラ,,,
talk,51,テッラ,,,
talk,52,アックア,,,
bgm,stop,
se,play,300100000030,,,
talk,show,0,,,
screen.effect,delete,
image,100011330,6,シーン06,
シーン06.fade,in,0.5,
wait,1,
talk,53,アックア,,,
+talk,show,1,,,
fade,out,1,#000000,0,
talk,show,0,
アックア.fade,out,0.5,
stage,009001004,,,,
image,100011330,7,シーン07,
シーン07.fade,in,0.5,
fade,in,1,#000000,0,
シーン06.fade,out,0.1,
wait,1,
bgm,play,30010010,1,,
talk,54,カエル顔の医者,,,
+talk,show,1,
talk,55,アレイスター,,,
talk,56,カエル顔の医者,,,
talk,57,アレイスター,,,
talk,58,カエル顔の医者,,,
talk,59,カエル顔の医者,,,
talk,60,アレイスター,,,
talk,61,カエル顔の医者,,,
シーン07.fade,out,0.5,
talk,62,アレイスター,,,
talk,63,アレイスター,,,
wait,2,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],

