#command,param1,param2,param3,param4,
#,
print,とある科学の超電磁砲3巻 チャプター2,
control,1,
stage,022001001,
bgm,stop,
+image,999999999,0,シーン00,
+image,100020302,1,シーン01,
+fade,in,1,#000000,0,
+シーン00.fade,in,0.1,
+talk,start,
+talk,show,0,,,
シーン01.fade,in,0.5,
シーン00.fade,out,0.1,
bgm,play,30010001,1,,
wait,1,
talk,1,佐天 涙子,,,
+talk,show,1,
talk,2,御坂 美琴,,,
talk,3,白井 黒子,,,
talk,4,初春 飾利,,,
talk,5,佐天 涙子,,,
se,play,300100000020,,,
wait,1,
talk,6,佐天 涙子,,,
talk,7,初春 飾利,,,
image,100020302,2,シーン02,
シーン02.fade,in,0.5,
シーン01.fade,out,0.1,,,
wait,1,
talk,8,佐天 涙子,,,
talk,9,初春 飾利,,,
talk,10,御坂 美琴,,,
bgm,stop,
image,100020302,3,シーン03,
シーン03.fade,in,0.5,,,
シーン02.fade,out,0.1,
wait,1,
talk,11,初春 飾利,,,
talk,12,白井 黒子,,,
bgm,play,30010009,1,,
talk,13,白井 黒子,,,
talk,14,御坂 美琴,,,
talk,15,初春 飾利,,,
talk,16,白井 黒子,,,
talk,17,御坂 美琴,,,
talk,18,佐天 涙子,,,
fade,out,1,#ffffff,0,
talk,show,0,
wait,1,
image,100020302,4,シーン04,
シーン04.fade,in,0.5,,,
シーン03.fade,out,0.1,
fade,in,1,#ffffff,0,
wait,1,
talk,19,白井 黒子,,,
+talk,show,1,
talk,20,佐天 涙子,,,
talk,21,御坂 美琴,,,
talk,22,佐天 涙子,,,
talk,23,御坂 美琴,,,
talk,24,白井 黒子,,,
talk,25,白井 黒子,,,
talk,26,白井 黒子,,,
talk,27,御坂 美琴,,,
talk,28,佐天 涙子,,,
image,100020302,5,シーン05,
シーン05.fade,in,0.5,,,
シーン04.fade,out,0.1,
wait,1,
talk,29,御坂 美琴,,,
talk,30,佐天 涙子,,,
talk,31,佐天 涙子,,,
talk,32,御坂 美琴,,,
image,100020302,6,シーン06,
シーン06.fade,in,0.5,,,
シーン05.fade,out,0.1,
wait,1,
bgm,play,30010001,1,,
talk,33,初春 飾利,,,
talk,34,佐天 涙子,,,
talk,35,白井 黒子,,,
talk,36,初春 飾利,,,
image,100020302,7,シーン07,
シーン07.fade,in,0.5,
se,play,300400000010,,,
シーン05.fade,out,0.1,
wait,1,
talk,37,御坂 美琴,,,
+se,play,300200000092,,,
wait,1,
talk,38,白井 黒子,,,
+se,play,300700000590,,,
wait,1,
talk,39,初春 飾利,,,
talk,40,佐天 涙子,,,
talk,41,佐天 涙子,,,
talk,42,初春 飾利,,,
image,100020302,8,シーン08,
シーン08.fade,in,0.5,
シーン07.fade,out,0.1,,,
wait,1,
talk,43,佐天 涙子,,,
talk,44,初春 飾利,,,
talk,45,佐天 涙子,,,
wait,1,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],

