#command,param1,param2,param3,param4,
#,
control,1,
stage,14001001,,,,
bgm,stop,,,,
chara,4000101,御坂 美琴,10,
chara,5000101,白井 黒子,10,
chara,36000101,初春 飾利,10,
chara,35000101,固法 美偉,10,
chara,9000101,婚后 光子,15,
+婚后 光子.fade,out,0.1,
+place,白井 黒子,御坂 美琴,初春 飾利,固法 美偉,
+focus,off,
image,100020917,1,シーン01,
シーン01.fade,in,0.5,
bgm,play,30010009,,,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
wait,0.5,
#,#,,,,
#,#,,,,
talk,1,黄泉川 愛穂,,,
+talk,show,1,
#,#,,,,
image,100020917,2,シーン02,
シーン02.fade,in,0.5,
シーン01.fade,out,0.1,
wait,1,
talk,2,白井 黒子,,,
#,#,,,,
talk,3,黄泉川 愛穂,,,
#,#,,,,
image,100020917,3,シーン03,
シーン03.fade,in,0.5,
シーン02.fade,out,0.1,
wait,1,
talk,4,黄泉川 愛穂,,,
#,#,,,,
talk,5,黄泉川 愛穂,,,
#,#,,,,
talk,6,黄泉川 愛穂,,,
talk,7,白井 黒子,,,
talk,8,御坂 美琴,,,
#,#,,,,
image,100020917,4,シーン04,
シーン04.fade,in,0.5,
シーン03.fade,out,0.1,
wait,1,
talk,9,黄泉川 愛穂,,,
#,#,,,,
talk,10,黄泉川 愛穂,,,
#,#,,,,
image,100020917,5,シーン05,
シーン05.fade,in,0.5,
シーン04.fade,out,0.1,
wait,1,
talk,11,黄泉川 愛穂,,,
#,#,,,,
talk,12,固法 美偉,,,
talk,13,初春 飾利,,,
#,#,,,,
シーン05.fade,out,0.5,
wait,1,
talk,14,初春 飾利,,,
talk,15,固法 美偉,,,
#,#,,,,
talk,16,初春 飾利,,,
#,#,,,,
talk,17,御坂 美琴,,,
talk,18,白井 黒子,,,
#,#,,,,
talk,19,御坂 美琴,,,
talk,20,初春 飾利,,,
#,#,,,,
bgm,stop,,,,
+固法 美偉.fade,out,0.5,
place,白井 黒子,御坂 美琴,初春 飾利,婚后 光子,
+婚后 光子.fade,in,0.5,
+focus,on,婚后 光子,
bgm,play,30010017,,,
talk,21,婚后 光子,,,
#,#,,,,
talk,22,婚后 光子,,,
#,#,,,,
talk,23,初春 飾利,,,
#,#,,,,
talk,24,婚后 光子,,,
#,#,,,,
talk,25,初春 飾利,,,
#,#,,,,
talk,26,初春 飾利,,,
#,#,,,,
talk,27,婚后 光子,,,
talk,28,御坂 美琴,,,
wait,1,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],
