#command,param1,param2,param3,param4,
#,
print,科学サイド別ストーリ チャプター1,
control,1,
bgm,stop,
+image,999999999,0,シーン00,,
+シーン00.fade,in,0.1,
bgm,play,30010010,1,,
chara,1000101,上条当麻,
chara,2000101,インデックス,
talk,start,
+talk,show,0,
+fade,in,1,#000000,0,
talk,1,,,,
+talk,show,1,
talk,2,,,,
talk,3,,,,
fade,out,1,#000000,0,
+talk,show,0,
stage,1003001,,,,
wait,0.7,
+fade,in,1,#000000,0,
+シーン00.fade,out,0.1,
bgm,stop,
bgm,play,30010003,1,,
talk,4,上条当麻,,,
+talk,show,1,
+上条当麻.fade,in,0.5,
+place,空白,上条当麻,
talk,5,インデックス,,,
+talk,show,1,
+インデックス.fade,in,0.5,
+place,インデックス,上条当麻,
talk,6,上条当麻,,,
talk,7,インデックス,,,
talk,8,インデックス,,,
talk,9,インデックス,,,
talk,10,上条当麻,,,
talk,11,インデックス,,,
talk,12,上条当麻,,,
talk,13,上条当麻,,,
talk,14,上条当麻,,,
talk,15,上条当麻,,,
bgm,play,30010006,1,,
talk,16,上条当麻,,,
talk,17,インデックス,,,
talk,18,上条当麻,,,
talk,19,インデックス,,,
talk,20,インデックス,,,
talk,21,上条当麻,,,
talk,22,インデックス,,,
talk,23,上条当麻,,,
talk,24,インデックス,,,
talk,25,上条当麻,,,
talk,26,上条当麻,,,
talk,27,インデックス,,,
talk,28,上条当麻,,,
talk,29,インデックス,,,
talk,30,上条当麻,,,
talk,31,インデックス,,,
talk,32,上条当麻,,,
wait,1,
fade,out,1,#FFFFFF,
bgm,stop,
wait,1,
[End],
