#command,param1,param2,param3,param4,
#,
print,科学サイドストーリー Chapter12,
stage,002004001,
control,1,
bgm,stop,
chara,23000101,姫神 秋沙,10,
chara,6000101,月詠 小萌,12,
chara,1000101,上条 当麻,12,
fade,in,1,#000000,0,
+focus,on,月詠 小萌,
+place,空白,月詠 小萌,上条 当麻,
+talk,start,
+talk,show,0,
bgm,play,30010003,,,
wait,0.5,
talk,1,月詠 小萌,,,
+talk,show,1,
talk,2,上条 当麻,,,
talk,3,月詠 小萌,,,
talk,4,上条 当麻,,,
talk,5,月詠 小萌,,,
talk,6,上条 当麻,,,
talk,7,月詠 小萌,,,
talk,8,上条 当麻,,,
talk,9,月詠 小萌,,,
talk,10,上条 当麻,,,
talk,11,上条 当麻,,,
talk,12,月詠 小萌,,,
talk,13,上条 当麻,,,
talk,14,上条 当麻,,,
se,play,300200000011,,,
姫神 秋沙.fade,in,0.5,
+姫神 秋沙.move,4,0,1,
+place,姫神 秋沙,月詠 小萌,上条 当麻,
wait,1,
talk,15,姫神 秋沙,,,
talk,16,月詠 小萌,,,
talk,17,月詠 小萌,,,
talk,18,姫神 秋沙,,,
talk,19,上条 当麻,,,
talk,20,姫神 秋沙,,,
talk,21,上条 当麻,,,
talk,22,姫神 秋沙,,,
talk,23,上条 当麻,,,
talk,24,姫神 秋沙,,,
talk,25,月詠 小萌,,,
talk,26,上条 当麻,,,
talk,27,月詠 小萌,,,
talk,28,姫神 秋沙,,,
talk,29,上条 当麻,,,
talk,30,月詠 小萌,,,
talk,31,姫神 秋沙,,,
talk,32,上条 当麻,,,
bgm,play,30010006,,,
talk,33,姫神 秋沙,,,
+se,play,300100000400,,,
talk,34,上条 当麻,,,
talk,35,姫神 秋沙,,,
talk,36,月詠 小萌,,,
wait,1,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],
