#command,param1,param2,param3,param4,
#,
print,科学サイドストーリー Chapter15,
stage,001002003,,,,
control,1,
bgm,stop,
chara,1000101,上条 当麻,10,
chara,2000101,インデックス,10,
fade,in,1,#000000,0,
+focus,on,上条 当麻,
+place,上条 当麻,
+talk,start,
+talk,show,0,
bgm,play,30010001,,,
wait,0.5,
talk,1,上条 当麻,,,
+talk,show,1,
talk,2,上条 当麻,,,
talk,3,上条 当麻,,,
fade,out,1,#FFFFFF,0,
talk,show,0,
+インデックス.facial,10,
+place,インデックス,空白,
+stage,001003004,
+focus,on,インデックス,
wait,1,
fade,in,1,#FFFFFF,0,
se,play,300400000010,,,
上条 当麻.fade,in,0.5,
+上条 当麻.move,5,1,1,
+place,インデックス,上条 当麻,
talk,4,インデックス,,,
+talk,show,1,
talk,5,上条 当麻,,,
talk,6,インデックス,,,
talk,7,上条 当麻,,,
bgm,play,30010006,,,
talk,8,インデックス,,,
talk,9,インデックス,,,
talk,10,インデックス,,,
+se,play,300200000180,,,
talk,11,上条 当麻,,,
+上条 当麻.shake,"(0.10,0)","(10,0)",1,
talk,12,インデックス,,,
talk,13,上条 当麻,,,
+se,play,300400000680,,,
talk,14,インデックス,,,
bgm,play,30010005,,,
talk,15,上条 当麻,,,
talk,16,インデックス,,,
talk,17,上条 当麻,,,
talk,18,上条 当麻,,,
talk,19,インデックス,,,
talk,20,上条 当麻,,,
talk,21,上条 当麻,,,
talk,22,インデックス,,,
talk,23,上条 当麻,,,
talk,24,上条 当麻,,,
talk,25,インデックス,,,
bgm,play,30010001,,,
talk,26,上条 当麻,,,
talk,27,インデックス,,,
wait,0.5,
fade,out,1,#FFFFFF,0,
se,play,300100000120,,,
wait,3,
talk,show,0,
fade,in,1,#FFFFFF,0,
+上条 当麻.facial,12,
+focus,on,上条 当麻,
talk,28,上条 当麻,,,
+talk,show,1,
bgm,play,30010006,,,
talk,29,上条 当麻,,,
+talk,show,1,
+se,play,300200000500,,,
talk,30,インデックス,,,
talk,31,上条 当麻,,,
talk,32,上条 当麻,,,
+se,play,300400000160,,,
talk,33,上条 当麻,,,
talk,34,上条 当麻,,,
bgm,play,30010005,,,
talk,35,インデックス,,,
talk,36,インデックス,,,
+se,play,300200000180,,,
talk,37,上条 当麻,,,
+上条 当麻.shake,"(0.10,0)","(10,0)",1,
wait,1,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],
