#command,param1,param2,param3,param4,
#,
print,魔術サイドストーリー Chapter11,
stage,007008003,,,,
control,1,
bgm,stop,
chara,24000101,ステイル,10,
chara,34000101,サーシャ,10,
fade,in,1,#000000,0,
+focus,on,ステイル,
+place,ステイル,空白,サーシャ,
+talk,start,
+talk,show,0,
bgm,play,30010010,,,
wait,0.5,
talk,1,ステイル,,,
+talk,show,1,
talk,2,サーシャ,,,
talk,3,ステイル,,,
talk,4,ステイル,,,
talk,5,ステイル,,,
talk,6,サーシャ,,,
talk,7,サーシャ,,,
talk,8,ステイル,,,
talk,9,サーシャ,,,
talk,10,サーシャ,,,
talk,11,ステイル,,,
talk,12,ステイル,,,
talk,13,サーシャ,,,
talk,14,サーシャ,,,
talk,15,ステイル,,,
screen.effect,ef_com_00000_001_000_00,"(0,0)",1,0,
+se,play,300700000240,,,
bgm,play,30010017,,,
wait,1,
talk,16,サーシャ,,,
talk,17,サーシャ,,,
talk,18,ステイル,,,
talk,19,サーシャ,,,
talk,20,ステイル,,,
talk,21,サーシャ,,,
stage.shake,"(0.10,0)","(10,0)",1,
+se,play,300800000470,,,
wait,2,
talk,22,ステイル,,,
talk,23,サーシャ,,,
talk,24,サーシャ,,,
talk,25,ステイル,,,
stage.shake,"(0.10,0)","(10,0)",1,
+se,play,300700000350,,,
talk,26,サーシャ,,,
talk,27,サーシャ,,,
talk,28,ステイル,,,
talk,29,サーシャ,,,
talk,30,ステイル,,,
talk,31,ステイル,,,
screen.effect,ef_com_00000_001_000_00,"(0,0)",1,0,
+se,play,300700000240,,,
wait,1,
talk,32,サーシャ,,,
talk,33,サーシャ,,,
wait,1,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],
