#command,param1,param2,param3,param4,
#,
print,とある高校 Chapter7,
control,1,
bgm,stop,
stage,2002001,,,,
bgm,play,30010001,1,,
chara,3000101,土御門 元春,14,
chara,48000101,青髪ピアス,12,
chara,1000101,上条 当麻,11,
chara,23000101,姫神 秋沙,15,
chara,8000101,吹寄 制理,13,
chara,39000101,土御門 舞夏,16,
place,土御門 元春,上条 当麻,吹寄 制理,土御門 舞夏,
+上条 当麻.fade,out,0.1,
+土御門 元春.fade,out,0.1,
+青髪ピアス.fade,out,0.1,
+姫神 秋沙.fade,out,0.1,
+吹寄 制理.fade,out,0.1,
+土御門 舞夏.fade,out,0.1,
talk,start,
+talk,show,0,
+fade,in,1.0,#000000,0,
吹寄 制理.fade,in,0.5,
+talk,1,吹寄 制理,,,
+talk,show,1,
上条 当麻.fade,in,0.5,
+talk,2,上条 当麻,,,
土御門 舞夏.fade,in,0.5,
+talk,3,土御門 舞夏,,,
se,play,0300200000012,,,
+土御門 舞夏.move,3,5,1,
土御門 舞夏.fade,out,0.1,
土御門 元春.fade,in,0.5,
+talk,4,土御門 元春,,,
talk,5,吹寄 制理,,,
上条 当麻.fade,out,0.5,
+土御門 元春.fade,out,0.5,
+吹寄 制理.fade,out,0.5,
place,姫神 秋沙,
+姫神 秋沙.fade,in,0.5,
+talk,6,姫神 秋沙,,,
姫神 秋沙.fade,out,0.5,
place,青髪ピアス,上条 当麻,吹寄 制理,
上条 当麻.fade,in,0.5,
+talk,7,上条 当麻,,,
吹寄 制理.fade,in,0.5,
+talk,8,吹寄 制理,,,
青髪ピアス.fade,in,0.5,
+talk,9,青髪ピアス,,,
上条 当麻.fade,out,0.5,
+吹寄 制理.fade,out,0.5,
+青髪ピアス.fade,out,0.5,
place,姫神 秋沙,吹寄 制理,
+姫神 秋沙.fade,in,0.5,
+talk,10,姫神 秋沙,,,
吹寄 制理.fade,in,0.5,
+talk,11,吹寄 制理,,,
talk,12,吹寄 制理,,,
talk,13,姫神 秋沙,,,
姫神 秋沙.fade,out,0.5,
+吹寄 制理.fade,out,0.5,
place,青髪ピアス,上条 当麻,土御門 元春,吹寄 制理,
+土御門 元春.fade,in,0.5,
+talk,14,土御門 元春,,,
青髪ピアス.fade,in,0.5,
+talk,15,青髪ピアス,,,
上条 当麻.fade,in,0.5,
+talk,16,上条 当麻,,,
吹寄 制理.fade,in,0.5,
+talk,17,吹寄 制理,,,
上条 当麻.facial,15,
+土御門 元春.facial,15,
+青髪ピアス.facial,15,
+talk,18,デルタフォース,,,
+focus,on,青髪ピアス,上条 当麻,土御門 元春,
bgm,play,30010003,1,,
上条 当麻.fade,out,0.5,
+土御門 元春.fade,out,0.5,
+吹寄 制理.fade,out,0.5,
+青髪ピアス.fade,out,0.5,
place,姫神 秋沙,吹寄 制理,
+姫神 秋沙.fade,in,0.5,
+talk,19,姫神 秋沙,,,
吹寄 制理.fade,in,0.5,
+talk,20,吹寄 制理,,,
talk,21,姫神 秋沙,,,
talk,22,吹寄 制理,,,
姫神 秋沙.fade,out,0.5,
+吹寄 制理.fade,out,0.5,
place,青髪ピアス,上条 当麻,土御門 元春,吹寄 制理,
+上条 当麻.fade,in,0.5,
+talk,23,上条 当麻,,,
青髪ピアス.fade,in,0.5,
+talk,24,青髪ピアス,,,
土御門 元春.fade,in,0.5,
+talk,25,土御門 元春,,,
bgm,play,30010007,1,,
talk,26,土御門 元春,,,
吹寄 制理.fade,in,0.5,
+talk,27,吹寄 制理,,,
talk,28,上条 当麻,,,
talk,29,上条 当麻,,,
talk,30,吹寄 制理,,,
talk,31,土御門 元春,,,
talk,32,吹寄 制理,,,
talk,33,青髪ピアス,,,
talk,34,吹寄 制理,,,
talk,35,土御門 元春,,,
talk,36,吹寄 制理,,,
吹寄 制理.move,3,1,0.3,
+focus,on,吹寄 制理,
se,play,0300700000010,,,
+上条 当麻.facial,16,
+上条 当麻.shake,"(0.10,0)","(10,0)",1,
+吹寄 制理.move,1,3,1,
+focus,on,上条 当麻,吹寄 制理,
talk,37,上条 当麻,,,
talk,38,土御門 元春,,,
talk,39,上条 当麻,,,
上条 当麻.fade,out,0.5,
+土御門 元春.fade,out,0.5,
+吹寄 制理.fade,out,0.5,
+青髪ピアス.fade,out,0.5,
place,姫神 秋沙,青髪ピアス,
+姫神 秋沙.fade,in,0.5,
+talk,40,姫神 秋沙,,,
青髪ピアス.fade,in,0.5,
+talk,41,青髪ピアス,,,
wait,1,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],








