#command,param1,param2,param3,param4,
#,
print,とある高校 ストーリー Chapter11,
stage,002001001,,,,
control,1,
bgm,stop,
chara,6000101,月詠 小萌,10,
chara,23000101,姫神 秋沙,10,
chara,48000101,青髪ピアス,17,
chara,1000101,上条 当麻,10,
chara,3000101,土御門 元春,12,
fade,in,1,#000000,0,
+focus,on,月詠 小萌,
+place,姫神 秋沙,月詠 小萌,
+talk,start,
+talk,show,0,
bgm,play,30010003,,,
wait,0.5,
talk,1,月詠 小萌,,,
+talk,show,1,
talk,2,月詠 小萌,,,
talk,3,姫神 秋沙,,,
talk,4,月詠 小萌,,,
talk,5,姫神 秋沙,,,
talk,6,月詠 小萌,,,
talk,7,姫神 秋沙,,,
talk,8,月詠 小萌,,,
talk,9,姫神 秋沙,,,
talk,10,月詠 小萌,,,
talk,11,姫神 秋沙,,,
talk,12,月詠 小萌,,,
talk,13,姫神 秋沙,,,
talk,14,月詠 小萌,,,
talk,15,姫神 秋沙,,,
talk,16,月詠 小萌,,,
talk,17,姫神 秋沙,,,
talk,18,月詠 小萌,,,
talk,19,姫神 秋沙,,,
talk,20,月詠 小萌,,,
talk,21,姫神 秋沙,,,
fade,out,1,#ＦＦＦＦＦ,0,
bgm,stop,
talk,show,0,
+姫神 秋沙.facial,14,
+place,姫神 秋沙,
+stage,002002001,,,,
+focus,on,姫神 秋沙,
wait,1,
fade,in,1,#ＦＦＦＦＦ,0,
bgm,play,30010001,,,
talk,22,姫神 秋沙,,,
+talk,show,1,
talk,23,上条 当麻,,,
+上条 当麻.fade,in,0.5,
+place,空白,空白,上条 当麻,空白,
talk,24,土御門 元春,,,
+土御門 元春.fade,in,0.5,
+place,空白,空白,上条 当麻,土御門 元春,
talk,25,青髪ピアス,,,
+青髪ピアス.fade,in,0.5,
+place,空白,青髪ピアス,上条 当麻,土御門 元春,
talk,26,姫神 秋沙,,,
+姫神 秋沙.fade,in,0.5,
+place,姫神 秋沙,青髪ピアス,上条 当麻,土御門 元春,
talk,28,姫神 秋沙,,,
talk,29,土御門 元春,,,
talk,30,姫神 秋沙,,,
talk,31,姫神 秋沙,,,
wait,1,
fade,out,1,#ＦＦＦＦＦ,0,
bgm,stop,
wait,1,
[END],
