#command,param1,param2,param3,param4,
#,
print,とある高校 ストーリー Chapte14,
stage,002002001,,,,
control,1,
bgm,stop,
chara,23000101,姫神 秋沙,12,
chara,48000101,青髪ピアス,12,
chara,1000101,上条 当麻,11,
chara,3000101,土御門 元春,16,
chara,6000101,月詠 小萌,12,
chara,8000101,吹寄 制理,13,
fade,in,1,#000000,0,
+focus,on,姫神 秋沙,
+place,姫神 秋沙,青髪ピアス,上条 当麻,土御門 元春,
+talk,start,
+talk,show,0,
bgm,play,30010022,,,
wait,0.5,
talk,1,姫神 秋沙,,,
+talk,show,1,
talk,2,青髪ピアス,,,
bgm,play,30010006,,,
talk,3,土御門 元春,,,
talk,4,上条 当麻,,,
talk,5,青髪ピアス,,,
talk,6,上条 当麻,,,
talk,7,土御門 元春,,,
talk,8,上条 当麻,,,
talk,9,青髪ピアス,,,
talk,10,上条 当麻,,,
talk,11,青髪ピアス,,,
talk,12,青髪ピアス,,,
talk,13,月詠 小萌,,,
+土御門 元春.fade,out,0.5,
+月詠 小萌.fade,in,0.5,
+place,姫神 秋沙,青髪ピアス,上条 当麻,月詠 小萌,
talk,14,青髪ピアス,,,
talk,15,吹寄 制理,,,
+上条 当麻.fade,out,0.5,
+吹寄 制理.fade,in,0.5,
+place,姫神 秋沙,青髪ピアス,吹寄 制理,月詠 小萌,
talk,16,青髪ピアス,,,
talk,17,吹寄 制理,,,
talk,18,青髪ピアス,,,
talk,19,吹寄 制理,,,
talk,20,青髪ピアス,,,
talk,21,姫神 秋沙,,,
talk,22,姫神 秋沙,,,
talk,23,青髪ピアス,,,
talk,24,姫神 秋沙,,,
talk,25,青髪ピアス,,,
talk,26,青髪ピアス,,,
talk,27,土御門 元春,,,
+月詠 小萌.fade,out,0.5,
+土御門 元春.fade,in,0.5,
+place,姫神 秋沙,青髪ピアス,吹寄 制理,土御門 元春,
talk,28,上条 当麻,,,
+吹寄 制理.fade,out,0.5,
+上条 当麻.fade,in,0.5,
+place,姫神 秋沙,青髪ピアス,上条 当麻,土御門 元春,
talk,29,土御門 元春,,,
talk,30,青髪ピアス,,,
talk,31,青髪ピアス,,,
talk,32,上条 当麻,,,
talk,33,上条 当麻,,,
talk,34,青髪ピアス,,,
talk,35,上条 当麻,,,
talk,36,土御門 元春,,,
talk,37,青髪ピアス,,,
talk,38,姫神 秋沙,,,
talk,39,吹寄 制理,,,
+吹寄 制理.fade,in,0.5,
+上条 当麻.fade,out,0.5,
+place,姫神 秋沙,青髪ピアス,吹寄 制理,土御門 元春,
wait,1,
fade,out,1,#ＦＦＦＦＦ,0,
bgm,stop,
wait,1,
[END],
