#command,param1,param2,param3,param4,
#,
print,常盤台中学 Chapter13,
stage,7001002,,,,
control,1,
bgm,stop,
chara,4000102,御坂 美琴,22,
chara,9000101,婚后 光子,10,
fade,in,1,#000000,0,
+focus,on,御坂 美琴,
+place,婚后 光子,御坂 美琴,
+talk,start,
+talk,show,0,
bgm,play,30010001,,,
wait,0.5,
talk,1,御坂 美琴,,,
+talk,show,1,
talk,2,婚后 光子,,,
talk,3,御坂 美琴,,,
talk,4,婚后 光子,,,
bgm,play,30010007,,,
talk,5,婚后 光子,,,
talk,6,御坂 美琴,,,
talk,7,婚后 光子,,,
talk,8,婚后 光子,,,
talk,9,御坂 美琴,,,
talk,10,婚后 光子,,,
talk,11,婚后 光子,,,
talk,12,婚后 光子,,,
talk,13,御坂 美琴,,,
talk,14,婚后 光子,,,
talk,15,御坂 美琴,,,
talk,16,婚后 光子,,,
talk,17,御坂 美琴,,,
talk,18,御坂 美琴,,,
talk,19,婚后 光子,,,
talk,20,御坂 美琴,,,
talk,21,婚后 光子,,,
talk,22,婚后 光子,,,
bgm,stop,
talk,23,御坂 美琴,,,
bgm,play,30010006,,,
talk,24,婚后 光子,,,
+婚后 光子.shake,"(0.10,0)","(10,0)",1,
talk,25,御坂 美琴,,,
talk,26,婚后 光子,,,
talk,27,御坂 美琴,,,
bgm,stop,
talk,28,婚后 光子,,,
talk,29,御坂 美琴,,,
bgm,play,30010005,,,
talk,30,婚后 光子,,,
talk,31,御坂 美琴,,,
talk,32,婚后 光子,,,
talk,33,婚后 光子,,,
talk,34,御坂 美琴,,,
wait,1,
fade,out,1,#000000,0,
bgm,stop,
wait,1,
[END],
