#command,param1,param2,param3,param4,
#,
print,イギリス正教必要悪の教会 Chapter15,
stage,010001001,,,,
control,1,
bgm,stop,
chara,25000101,神裂 火織,20,
chara,3000701,土御門 元春,12,
chara,24000101,ステイル,11,
chara,1000101,上条 当麻,12,
chara,2000101,インデックス,12,
fade,in,1,#000000,0,
+focus,on,土御門 元春,
+place,ステイル,土御門 元春,上条 当麻,
+talk,start,
+talk,show,0,
bgm,play,30010001,,,
wait,0.5,
talk,1,土御門 元春,,,
+talk,show,1,
talk,2,ステイル,,,
talk,3,上条 当麻,,,
talk,4,上条 当麻,,,
talk,5,ステイル,,,
talk,6,上条 当麻,,,
talk,7,土御門 元春,,,
talk,8,上条 当麻,,,
talk,9,土御門 元春,,,
talk,10,上条 当麻,,,
talk,11,ステイル,,,
talk,12,土御門 元春,,,
talk,13,土御門 元春,,,
talk,14,上条 当麻,,,
talk,15,土御門 元春,,,
talk,16,土御門 元春,,,
talk,17,ステイル,,,
bgm,stop,
talk,18,土御門 元春,,,
+se,play,300200000810,,,
wait,1,
bgm,play,30010006,1,,
talk,19,ステイル,,,
talk,20,上条 当麻,,,
talk,21,ステイル,,,
talk,22,土御門 元春,,,
talk,23,土御門 元春,,,
talk,24,土御門 元春,,,
talk,25,ステイル,,,
talk,26,上条 当麻,,,
talk,27,ステイル,,,
talk,28,土御門 元春,,,
talk,29,土御門 元春,,,
talk,30,ステイル,,,
talk,31,土御門 元春,,,
talk,32,土御門 元春,,,
talk,33,上条 当麻,,,
talk,34,ステイル,,,
se,play,300200000012,,,
ステイル.move,0,4,1,
+ステイル.fade,out,0.5,
wait,1,
talk,35,土御門 元春,,,
se,play,300200000012,,,
土御門 元春.move,1,4,1,
+土御門 元春.fade,out,0.5,
talk,36,上条 当麻,,,
talk,37,上条 当麻,,,
bgm,stop,
se,play,300200000011,,,
talk,38,インデックス,,,
+インデックス.fade,in,0.5,
+place,インデックス,空白,上条 当麻,
talk,39,上条 当麻,,,
bgm,play,30010001,,,
talk,40,インデックス,,,
talk,41,インデックス,,,
bgm,play,30010006,1,,
talk,42,上条 当麻,,,
talk,43,インデックス,,,
talk,44,インデックス,,,
talk,45,上条 当麻,,,
talk,46,インデックス,,,
talk,47,インデックス,,,
talk,48,上条 当麻,,,
talk,49,インデックス,,,
talk,50,上条 当麻,,,
talk,51,上条 当麻,,,
wait,1,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],
