#command,param1,param2,param3,param4,
#,
stage,3004001,,,,
control,1,
bgm,stop,
chara,4000502,御坂 美琴,20,
chara,10000501,食蜂 操祈,22,
chara,1000501,上条 当麻,21,
chara,21000501,御坂妹,10,
chara,22000901,打ち止め,20,
+place,食蜂 操祈,上条 当麻,御坂 美琴,
+focus,on,食蜂 操祈,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
bgm,play,30010005,,,
wait,0.5,
talk,1,食蜂 操祈,,,
+talk,show,1,
talk,2,上条 当麻,,,
talk,3,御坂 美琴,,,
talk,4,食蜂 操祈,,,
talk,5,食蜂 操祈,,,
talk,6,御坂 美琴,,,
+御坂 美琴.shake,"(0.10,0)","(10,0)",1,
talk,7,上条 当麻,,,
talk,8,御坂 美琴,,,
talk,9,上条 当麻,,,
talk,10,御坂 美琴,,,
talk,11,御坂 美琴,,,
talk,12,食蜂 操祈,,,
talk,13,御坂 美琴,,,
talk,14,食蜂 操祈,,,
talk,15,御坂 美琴,,,
talk,16,食蜂 操祈,,,
talk,17,御坂 美琴,,,
wait,1,
fade,out,1,#ffffff,0,
talk,show,0,
bgm,stop,
+place,上条 当麻,御坂 美琴,,,
+御坂 美琴.facial,12,
+上条 当麻.facial,11,
+focus,on,上条 当麻,
wait,1,
fade,in,1,#ffffff,0,
bgm,play,30010006,,,
talk,18,上条 当麻,,,
+talk,show,1,
talk,19,上条 当麻,,,
talk,20,御坂 美琴,,,
talk,21,常盤台中学生Ａ,,,
talk,22,上条 当麻,,,
talk,23,御坂 美琴,,,
talk,24,上条 当麻,,,
talk,25,御坂 美琴,,,
talk,26,上条 当麻,,,
talk,27,御坂 美琴,,,
上条 当麻.fade,out,0.5,
+御坂 美琴.fade,out,0.5,
+talk,show,0,
wait,0.5,
上条 当麻.fade,in,0.5,
+御坂 美琴.fade,in,0.5,
+食蜂 操祈.fade,in,0.5,
+place,食蜂 操祈,上条 当麻,御坂 美琴,
talk,28,食蜂 操祈,,,
+talk,show,1,
talk,29,御坂 美琴,,,
talk,30,食蜂 操祈,,,
talk,31,御坂 美琴,,,
se,play,300400000240,,,
talk,32,アナウンス,,,
talk,33,食蜂 操祈,,,
talk,34,アナウンス,,,
talk,35,食蜂 操祈,,,
talk,36,御坂 美琴,,,
talk,37,食蜂 操祈,,,
bgm,play,30010005,,,
talk,38,食蜂 操祈,,,
talk,39,上条 当麻,,,
talk,40,御坂 美琴,,,
+御坂 美琴.shake,"(0.10,0)","(10,0)",1,
talk,41,食蜂 操祈,,,
talk,42,御坂 美琴,,,
talk,43,上条 当麻,,,
talk,44,上条 当麻,,,
fade,out,1,#FFFFFF,0,
bgm,stop,
talk,show,0,
+place,御坂妹,
+focus,on,御坂妹,
wait,1,
fade,in,1,#FFFFFF,0,
bgm,play,30010003,,,
talk,45,御坂妹,,,
+talk,show,1,
talk,46,男性客Ａ,,,
talk,47,御坂妹,,,
talk,48,男性客Ｂ,,,
talk,49,御坂妹,,,
talk,50,男性客Ａ,,,
talk,51,男性客Ｂ,,,
talk,52,御坂妹,,,
wait,1,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],
