#command,param1,param2,param3,param4,param5,
#,
stage,17002001,,,,,
control,1,
bgm,stop,
chara,1000401,上条 当麻,14,
chara,2000401,インデックス,20,
chara,43000701,レイヴィニア,13,
chara,80000701,レッサー,12,
+place,インデックス,レッサー,上条 当麻,レイヴィニア,
wait,0.5,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
+focus,on,インデックス,
bgm,play,30010001,,,,
wait,0.5,
talk,1,インデックス,,,,
+talk,show,1,
talk,2,上条 当麻,,,,
talk,3,インデックス,,,,
talk,4,上条 当麻,,,,
talk,5,レイヴィニア,,,,
talk,6,レッサー,,,,
bgm,stop,
talk,7,レイヴィニア,,,,
bgm,play,30010006,,,,
talk,8,上条 当麻,,,,
talk,9,レイヴィニア,,,,
talk,10,レイヴィニア,,,,
talk,11,レイヴィニア,,,,
talk,12,上条 当麻,,,,
talk,13,上条 当麻,,,,
talk,14,レイヴィニア,,,,
talk,15,レッサー,,,,
talk,16,レッサー,,,,
talk,17,インデックス,,,,
bgm,play,30010005,,,,
talk,18,レッサー,,,,
+レッサー.shake,"(0.10,0)","(10,0)",1,
talk,19,インデックス,,,,
talk,20,レッサー,,,,
talk,21,インデックス,,,,
talk,22,レッサー,,,,
talk,23,レッサー,,,,
talk,24,インデックス,,,,
talk,25,レッサー,,,,
talk,26,インデックス,,,,
talk,27,レッサー,,,,
bgm,play,30010003,,,,
talk,28,レイヴィニア,,,,
talk,29,レイヴィニア,,,,
talk,30,上条 当麻,,,,
talk,31,レイヴィニア,,,,
talk,32,上条 当麻,,,,
talk,33,レイヴィニア,,,,
se,play,300300000220,,,,
wait,0.5,
talk,34,上条 当麻,,,,
+上条 当麻.shake,"(0.10,0)","(10,0)",1,
talk,35,レイヴィニア,,,,
talk,36,レイヴィニア,,,,
talk,37,レイヴィニア,,,,
talk,38,上条 当麻,,,,
talk,39,上条 当麻,,,,
talk,40,レイヴィニア,,,,
talk,41,レイヴィニア,,,,
talk,42,レイヴィニア,,,,
talk,43,上条 当麻,,,,
bgm,play,30010006,,,,
talk,44,レイヴィニア,,,,
talk,45,レイヴィニア,,,,
talk,46,上条 当麻,,,,
+上条 当麻.shake,"(0.10,0)","(10,0)",1,
talk,47,レイヴィニア,,,,
talk,48,上条 当麻,,,,
talk,49,レイヴィニア,,,,
bgm,stop,
talk,50,レイヴィニア,,,,
talk,51,上条 当麻,,,,
talk,52,レイヴィニア,,,,
talk,53,上条 当麻,,,,
wait,1,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],
