#command,param1,param2,param3,param4,
#,,,,,
control,1,
stage,13001004,,,,
bgm,stop,,,,
chara,175000101,カイツ,10,
chara,10000301,食蜂 操祈,10,
chara,21000305,御坂妹,16,
+place,食蜂 操祈,御坂妹,
+focus,on,食蜂 操祈,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
bgm,play,30010009,,,
wait,0.5,
talk,1,食蜂 操祈,,,
+talk,show,1,
talk,2,食蜂 操祈,,,
talk,3,御坂妹,,,
talk,4,食蜂 操祈,,,
talk,5,御坂妹,,,
talk,6,食蜂 操祈,,,
talk,7,御坂妹,,,
talk,8,食蜂 操祈,,,
talk,9,御坂妹,,,
talk,10,食蜂 操祈,,,
talk,11,御坂妹,,,
talk,12,御坂妹,,,
talk,13,食蜂 操祈,,,
talk,14,御坂妹,,,
bgm,stop,,,,
wait,2,
bgm,play,30010004,,,
talk,15,食蜂 操祈,,,
talk,16,御坂妹,,,
talk,17,食蜂 操祈,,,
talk,18,食蜂 操祈,,,
talk,19,食蜂 操祈,,,
talk,20,御坂妹,,,
talk,21,食蜂 操祈,,,
talk,22,御坂妹,,,
talk,23,食蜂 操祈,,,
talk,24,御坂妹,,,
talk,25,御坂妹,,,
talk,26,御坂妹,,,
talk,27,食蜂 操祈,,,
talk,28,食蜂 操祈,,,
talk,show,0,
御坂妹.fade,out,0.5,
+食蜂 操祈.fade,out,0.5,
+カイツ.fade,out,0.5,
place,カイツ,食蜂 操祈,御坂妹,
+御坂妹.fade,in,0.5,
+食蜂 操祈.fade,in,0.5,
+カイツ.fade,in,0.5,
+食蜂 操祈.facial,20,
+カイツ.facial,10,
+focus,on,カイツ,
se,play,300200000480,,,
talk,29,カイツ,,,
+talk,show,1,
talk,30,カイツ,,,
talk,31,カイツ,,,
talk,32,カイツ,,,
talk,33,食蜂 操祈,,,
talk,34,食蜂 操祈,,,
talk,35,カイツ,,,
talk,36,食蜂 操祈,,,
talk,37,食蜂 操祈,,,
talk,38,カイツ,,,
wait,2,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],
