#command,param1,param2,param3,param4,param5,param6,
#,
print,レイドイベント0046 chapter1,
stage,17002001,,,,,,
control,1,
bgm,stop,
chara,80000701,レッサー,10,
chara,1000401,上条 当麻,10,
chara,43000701,レイヴィニア,10,
chara,2000401,インデックス,10,
chara,529000101,スイカ,10,
image,999999999,0,シーン00,
place,レイヴィニア,レッサー,上条 当麻,インデックス,
+上条 当麻.fade,in,0.1,
+レッサー.fade,in,0.1,
+レイヴィニア.fade,out,0.1,
+インデックス.fade,out,0.1,
+talk,start,
+talk,show,0,
bgm,play,30010003,,,,,
fade,in,1,#000000,0,
+talk,1,
+talk,show,1,
wait,0.5,
レッサー.shake,"(0,0.5,0)","(0,3)",1,
+talk,2,レッサー,
talk,3,上条 当麻,
レイヴィニア.fade,in,0.5,
+talk,4,レイヴィニア,
talk,5,上条 当麻,
インデックス.fade,in,0.5,
+talk,6,インデックス,
talk,7,レイヴィニア,
talk,8,レッサー,
talk,9,上条 当麻,
talk,10,インデックス,
talk,11,レイヴィニア,
fade,out,0.3,#98FB98,0,
+se,play,300800000230,,,,,
fade,in,0.3,#98FB98,0,
talk,12,インデックス,
talk,13,レイヴィニア,
talk,14,上条 当麻,
talk,15,レイヴィニア,
fade,out,1,#FFFFFF,0,
talk,show,0,
+上条 当麻.fade,in,0.1,
+レッサー.fade,in,0.1,
+レイヴィニア.fade,in,0.1,
+インデックス.fade,in,0.1,
+talk,show,0,
bgm,stop,
wait,0.5,
シーン00.fade,in,0.5,
+place,スイカ,
+スイカ.fade,in,0.1,
+se,play,300400000340,,,,,
fade,in,1,#FFFFFF,0,
talk,16,上条 当麻,
+talk,show,1,
talk,17,レッサー,
talk,18,上条 当麻,
talk,19,インデックス,
+se,play,300200000640,,,,,
se,play,300200000640,,,,,
bgm,play,30010005,,,,,
+talk,20,レッサー,
talk,21,レッサー,
talk,22,レイヴィニア,
talk,23,レッサー,
+se,play,300200000152,,,,,
talk,24,インデックス,
talk,25,上条 当麻,
+focus,on,スイカ,
wait,0.5,
+se,play,300400000340,,,,,
+bgm,stop,
シーン00.fade,out,1,
screen.effect,ef_com_00000_000_000_00,"(0,0)",2,0,
wait,2,
スイカ.fade,out,0.5,
+place,上条 当麻,スイカ,
+talk,show,0,
+上条 当麻.fade,in,0.5,
+スイカ.fade,in,0.5,
talk,show,1,
+talk,26,上条 当麻,
talk,27,上条 当麻,
+stage.shake,"(0.10,0)","(10,0)",1,
+bgm,play,30010005,,,,,
wait,2,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],
