#command,param1,param2,param3,param4,param5,param6,
#,
control,1,
stage,5003002,,,,,,
bgm,stop,1,,,,,
+image,999999999,0,シーン00,
chara,37001101,佐天 涙子,12,
chara,5002301,白井 黒子,11,
chara,4002301,御坂 美琴,14,
chara,36001101,初春 飾利,10,
chara,129000801,春上 衿衣,12,
+talk,start,
+talk,show,0,
place,初春 飾利,佐天 涙子,春上 衿衣,
+初春 飾利.fade,in,0.5,
+佐天 涙子.fade,in,0.5,
+春上 衿衣.fade,in,0.5,
御坂 美琴.facial,14,
bgm,play,30010001,,,,,
fade,in,1,#000000,0,
wait,0.5,
talk,1,佐天 涙子,,,,,
+talk,show,1,
talk,2,初春 飾利,,,,,
talk,3,春上 衿衣,,,,,
+se,play,300200000850,,,,,
wait,1,
初春 飾利.fade,out,0.5,
+佐天 涙子.fade,out,0.5,
+春上 衿衣.fade,out,0.5,
place,御坂 美琴,白井 黒子,初春 飾利,佐天 涙子,
+初春 飾利.fade,in,0.5,
+佐天 涙子.fade,in,0.5,
+御坂 美琴.fade,in,0.5,
+白井 黒子.fade,in,0.5,
talk,4,御坂 美琴,,,,,
talk,5,白井 黒子,,,,,
talk,6,佐天 涙子,,,,,
talk,7,御坂 美琴,,,,,
初春 飾利.fade,out,0.5,
+佐天 涙子.fade,out,0.5,
+御坂 美琴.fade,out,0.5,
+白井 黒子.fade,out,0.5,
place,御坂 美琴,初春 飾利,佐天 涙子,春上 衿衣,
+初春 飾利.fade,in,0.5,
+佐天 涙子.fade,in,0.5,
+御坂 美琴.fade,in,0.5,
+春上 衿衣.fade,in,0.5,
+focus,on,初春 飾利,
talk,8,初春 飾利,,,,,
talk,9,佐天 涙子,,,,,
talk,10,春上 衿衣,,,,,
talk,11,御坂 美琴,,,,,
talk,12,初春たち,,,,,
+focus,on,初春 飾利,佐天 涙子,春上 衿衣,
初春 飾利.fade,out,0.5,
+佐天 涙子.fade,out,0.5,
+御坂 美琴.fade,out,0.5,
+春上 衿衣.fade,out,0.5,
place,白井 黒子,御坂 美琴,
+御坂 美琴.fade,in,0.5,
+白井 黒子.fade,in,0.5,
talk,13,白井 黒子,,,,,
talk,14,白井 黒子,,,,,
talk,15,御坂 美琴,,,,,
wait,1,
se,play,300200000030,,,,,
+御坂 美琴.move,1,5,2,
+御坂 美琴.fade,out,0.5,
wait,1,
talk,16,白井 黒子,,,,,
wait,1,
se,play,300200000860,,,,,
+白井 黒子.move,0,5,2,
+白井 黒子.fade,out,0.5,
wait,1,
place,初春 飾利,佐天 涙子,春上 衿衣,
+初春 飾利.fade,in,0.5,
+佐天 涙子.fade,in,0.5,
+春上 衿衣.fade,in,0.5,
talk,17,佐天 涙子,,,,,
talk,18,春上 衿衣,,,,,
talk,19,春上 衿衣,,,,,
talk,20,初春 飾利,,,,,
talk,21,佐天 涙子,,,,,
talk,22,初春 飾利,,,,,
talk,23,春上 衿衣,,,,,
wait,1,,,,,,
fade,out,1,#FFFFFF,0,
+se,play,300200000760,,,,,
初春 飾利.fade,out,0.5,
+佐天 涙子.fade,out,0.5,
+春上 衿衣.fade,out,0.5,
place,初春 飾利,春上 衿衣,
初春 飾利.fade,in,0.5,
+春上 衿衣.fade,in,0.5,
bgm,stop,1,,,,,
bgm,play,30010003,,,,,
stage,31001003,,,,,,
+初春 飾利.facial,10,
+talk,show,0,
wait,1,
fade,in,1,#FFFFFF,0,
+se,play,300200000760,,,,,
wait,1,
talk,24,春上 衿衣,,,,,
+talk,show,1,
talk,25,初春 飾利,,,,,
talk,26,春上 衿衣,,,,,
talk,27,初春 飾利,,,,,
初春 飾利.fade,out,0.5,
+春上 衿衣.fade,out,0.5,
+se,play,300200000070,,,,,
白井 黒子.facial,11,
wait,1,,,,,,
place,御坂 美琴,佐天 涙子,白井 黒子,
+御坂 美琴.fade,in,0.5,
+佐天 涙子.fade,in,0.5,
+白井 黒子.fade,in,0.5,
talk,28,御坂 美琴,,,,,
talk,29,佐天 涙子,,,,,
talk,30,佐天 涙子,,,,,
talk,31,佐天 涙子,,,,,
talk,32,白井 黒子,,,,,
wait,1,,,,,,
fade,out,1,#FFFFFF,0,
御坂 美琴.fade,out,0.5,
+佐天 涙子.fade,out,0.5,
+白井 黒子.fade,out,0.5,
佐天 涙子.facial,10,
+初春 飾利.facial,11,
+春上 衿衣.facial,12,
place,佐天 涙子,初春 飾利,春上 衿衣,
+佐天 涙子.fade,in,0.5,
+初春 飾利.fade,in,0.5,
+春上 衿衣.fade,in,0.5,
talk,show,0,
wait,1,
fade,in,1,#FFFFFF,0,
talk,33,春上 衿衣,,,,,
+talk,show,1,
