#command,param1,param2,param3,param4,
#,
control,1,
stage,16002002,,,,
bgm,stop,,,,
chara,25000901,神裂 火織,13,
chara,2002201,インデックス,20,
chara,510000106,残党Ａ,16,
+place,残党Ａ,インデックス,
+focus,on,インデックス,
bgm,play,30010019,,,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
wait,0.5,
talk,1,インデックス,,,
+talk,show,1,
talk,2,残党Ａ,,,
talk,3,残党Ａ,,,
talk,4,残党Ａ,,,
talk,5,インデックス,,,
talk,6,残党Ａ,,,
talk,7,残党Ａ,,,
talk,8,インデックス,,,
talk,9,残党Ａ,,,
talk,10,インデックス,,,
talk,11,残党Ａ,,,
talk,12,インデックス,,,
bgm,stop,,,,
talk,show,0,
+インデックス.fade,out,0.5,
+残党Ａ.fade,out,0.5,
+神裂 火織.fade,out,0.5,
place,神裂 火織,残党Ａ,インデックス,
+インデックス.fade,in,0.5,
+残党Ａ.fade,in,0.5,
+神裂 火織.fade,in,0.5,
+インデックス.facial,15,
+残党Ａ.facial,15,
+focus,on,神裂 火織,
bgm,play,30010021,,,
wait,1,
+se,play,300200000480,,,
talk,13,神裂 火織,,,
+talk,show,1,
talk,14,残党Ａ,,,
talk,15,インデックス,,,
talk,16,神裂 火織,,,
talk,17,神裂 火織,,,
talk,18,残党Ａ,,,
talk,19,神裂 火織,,,
talk,20,残党Ａ,,,
talk,21,神裂 火織,,,
talk,22,残党Ａ,,,
se,play,300800000470,,,
talk,23,神裂 火織,,,
+se,play,300300000440,,,
talk,24,残党Ａ,,,
talk,25,神裂 火織,,,
screen.effect,ef_com_00000_000_001_00,"(0,0)",0,0,
+se,play,300700000030,,,
fade,out,0.3,#FFFFFF,0,
fade,in,0.3,#FFFFFF,0,
stage.shake,"(0.10,0)","(10,0)",1,
talk,26,残党Ａ,,,
残党Ａ.fade,out,0.5,
+残党Ａ.shake,"(0,-0.5,0)","(0,1)",1,
+se,play,300200000510,,,
talk,27,インデックス,,,
talk,28,神裂 火織,,,
talk,29,インデックス,,,
talk,30,神裂 火織,,,
talk,31,神裂 火織,,,
talk,32,神裂 火織,,,
talk,33,インデックス,,,
talk,34,神裂 火織,,,
wait,2,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],
