#command,param1,param2,param3,param4,param5,param6,
#,
control,1,
stage,500002001,,,,,,
bgm,stop,,,,,,
chara,214000101,光井 ほのか,14,
chara,4002801,御坂 美琴,10,
chara,36002801,初春 飾利,10,
chara,5001401,白井 黒子,10,
chara,215000101,七草 真由美,12,
chara,213000101,北山 雫,10,
+光井 ほのか.fade,out,0.1,
+七草 真由美.fade,out,0.1,
+北山 雫.fade,out,0.1,
+place,初春 飾利,白井 黒子,御坂 美琴,
+focus,on,御坂 美琴,
bgm,play,30010020,,,,,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
wait,0.5,
talk,1,御坂 美琴,,,,,
+talk,show,1,
talk,2,白井 黒子,,,,,
talk,3,初春 飾利,,,,,
talk,show,0,
+初春 飾利.fade,out,0.5,
+白井 黒子.fade,out,0.5,
+御坂 美琴.fade,out,0.5,
place,御坂 美琴,七草 真由美,北山 雫,光井 ほのか,
+御坂 美琴.fade,in,0.5,
+七草 真由美.fade,in,0.5,
+北山 雫.fade,in,0.5,
+光井 ほのか.fade,in,0.5,
+御坂 美琴.facial,12,
+focus,on,光井 ほのか,
wait,1,
talk,4,光井 ほのか,,,,,
+talk,show,1,
talk,5,北山 雫,,,,,
talk,6,七草 真由美,,,,,
talk,7,御坂 美琴,,,,,
talk,8,御坂 美琴,,,,,
wait,1,
fade,out,1,#FFFFFF,0,
stage,5001001,,,,,,
talk,show,0,
+御坂 美琴.fade,out,0.5,
+七草 真由美.fade,out,0.5,
+北山 雫.fade,out,0.5,
+光井 ほのか.fade,out,0.5,
place,初春 飾利,白井 黒子,御坂 美琴,七草 真由美,
+初春 飾利.fade,in,0.5,
+白井 黒子.fade,in,0.5,
+御坂 美琴.fade,in,0.5,
+七草 真由美.fade,in,0.5,
+初春 飾利.facial,14,
+白井 黒子.facial,10,
+御坂 美琴.facial,10,
+七草 真由美.facial,10,
+focus,on,七草 真由美,
wait,1,
fade,in,1,#FFFFFF,0,
+se,play,300200000480,,,,,
talk,9,七草 真由美,,,,,
+talk,show,1,
talk,10,白井 黒子,,,,,
talk,11,初春 飾利,,,,,
talk,12,七草 真由美,,,,,
talk,13,御坂 美琴,,,,,
talk,show,0,
+初春 飾利.fade,out,0.5,
+白井 黒子.fade,out,0.5,
+御坂 美琴.fade,out,0.5,
+七草 真由美.fade,out,0.5,
place,七草 真由美,北山 雫,光井 ほのか,
+七草 真由美.fade,in,0.5,
+北山 雫.fade,in,0.5,
+光井 ほのか.fade,in,0.5,
+七草 真由美.facial,12,
+北山 雫.facial,10,
+光井 ほのか.facial,10,
+focus,on,光井 ほのか,
wait,1,
talk,14,光井 ほのか,,,,,
+talk,show,1,
talk,15,北山 雫,,,,,
talk,16,七草 真由美,,,,,
talk,show,0,
+七草 真由美.fade,out,0.5,
+北山 雫.fade,out,0.5,
+光井 ほのか.fade,out,0.5,
place,初春 飾利,白井 黒子,北山 雫,光井 ほのか,
+初春 飾利.fade,in,0.5,
+白井 黒子.fade,in,0.5,
+北山 雫.fade,in,0.5,
+光井 ほのか.fade,in,0.5,
+初春 飾利.facial,10,
+白井 黒子.facial,10,
+北山 雫.facial,15,
+光井 ほのか.facial,12,
+focus,on,白井 黒子,
wait,1,
talk,17,白井 黒子,,,,,
+talk,show,1,
talk,18,初春 飾利,,,,,
talk,19,初春 飾利,,,,,
talk,20,光井 ほのか,,,,,
talk,21,初春 飾利,,,,,
talk,22,白井 黒子,,,,,
talk,23,白井 黒子,,,,,
talk,24,北山 雫,,,,,
talk,25,白井 黒子,,,,,
bgm,stop,,,,,,
talk,show,0,
+初春 飾利.fade,out,0.5,
+白井 黒子.fade,out,0.5,
+北山 雫.fade,out,0.5,
+光井 ほのか.fade,out,0.5,
place,御坂 美琴,七草 真由美,北山 雫,光井 ほのか,
+御坂 美琴.fade,in,0.5,
+七草 真由美.fade,in,0.5,
+北山 雫.fade,in,0.5,
+光井 ほのか.fade,in,0.5,
+御坂 美琴.facial,13,
+七草 真由美.facial,13,
+北山 雫.facial,11,
+光井 ほのか.facial,12,
+focus,on,御坂 美琴,
bgm,play,30010006,,,,,
wait,1,
talk,26,御坂 美琴,,,,,
+talk,show,1,
talk,27,北山 雫,,,,,
talk,28,七草 真由美,,,,,
talk,29,御坂 美琴,,,,,
talk,30,七草 真由美,,,,,
bgm,stop,,,,,,
talk,31,御坂 美琴,,,,,
bgm,play,30010005,,,,,
talk,32,七草 真由美,,,,,
talk,33,御坂 美琴,,,,,
talk,34,七草 真由美,,,,,
talk,35,御坂 美琴,,,,,
talk,36,御坂 美琴,,,,,
talk,37,七草 真由美,,,,,
talk,38,御坂 美琴,,,,,
talk,39,七草 真由美,,,,,
talk,40,御坂 美琴,,,,,
talk,41,七草 真由美,,,,,
talk,42,御坂 美琴,,,,,
talk,43,光井 ほのか,,,,,
talk,44,北山 雫,,,,,
talk,45,御坂 美琴,,,,,
bgm,stop,,,,,,
talk,show,0,
+御坂 美琴.fade,out,0.5,
+七草 真由美.fade,out,0.5,
+北山 雫.fade,out,0.5,
+光井 ほのか.fade,out,0.5,
place,白井 黒子,御坂 美琴,七草 真由美,
+白井 黒子.fade,in,0.5,
+御坂 美琴.fade,in,0.5,
+七草 真由美.fade,in,0.5,
+白井 黒子.facial,13,
+御坂 美琴.facial,15,
+七草 真由美.facial,12,
+focus,on,白井 黒子,
bgm,play,30010006,,,,,
wait,1,
talk,46,白井 黒子,,,,,
+talk,show,1,
talk,47,御坂 美琴,,,,,
talk,48,七草 真由美,,,,,
talk,49,七草 真由美,,,,,
talk,50,御坂 美琴,,,,,
wait,1,
fade,out,1,#FFFFFF,0,
+image,999999999,1,シーン01,
シーン01.fade,in,0.1,
+talk,show,0,
fade,in,0.5,#FFFFFF,0,
bgm,stop,
control,0,
wait,1,
movie,play,story_event000000079,0,1,1,0,
+bgm,play,10030002,
bgm,stop,
[END],
