#command,param1,param2,param3,param4,param5,param6,
#,
control,1,
stage,7017001,,,,,,
bgm,stop,
chara,53000401,湾内 絹保,12,
chara,55000401,泡浮 万彬,12,
chara,9000401,婚后 光子,12,
chara,37001401,佐天 涙子,15,
chara,36001401,初春 飾利,17,
+place,婚后 光子,初春 飾利,佐天 涙子,
+focus,on,佐天 涙子,
bgm,play,30010024,,,,,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
wait,1,
talk,1,佐天 涙子,,,,,
+talk,show,1,
talk,2,初春 飾利,,,,,
talk,3,初春 飾利,,,,,
talk,4,佐天 涙子,,,,,
talk,5,婚后 光子,,,,,
talk,6,婚后 光子,,,,,
talk,7,佐天 涙子,,,,,
+佐天 涙子.shake,"(0.10,0)","(10,0)",1,
talk,8,初春 飾利,,,,,
婚后 光子.fade,out,0.5,
+初春 飾利.fade,out,0.5,
+佐天 涙子.fade,out,0.5,
wait,0.5,
talk,9,湾内 絹保,,,,,
+佐天 涙子.fade,in,0.5,
+婚后 光子.fade,in,0.5,
+泡浮 万彬.fade,in,0.5,
+湾内 絹保.fade,in,0.5,
+place,婚后 光子,佐天 涙子,泡浮 万彬,湾内 絹保,
talk,10,泡浮 万彬,,,,,
talk,11,泡浮 万彬,,,,,
talk,12,佐天 涙子,,,,,
talk,13,湾内 絹保,,,,,
talk,14,湾内 絹保,,,,,
talk,15,湾内 絹保,,,,,
talk,16,泡浮 万彬,,,,,
talk,17,泡浮 万彬,,,,,
talk,18,泡浮 万彬,,,,,
talk,19,婚后 光子,,,,,
talk,20,婚后 光子,,,,,
talk,21,泡浮 万彬,,,,,
talk,22,湾内 絹保,,,,,
talk,23,婚后 光子,,,,,
+婚后 光子.shake,"(0.10,0)","(10,0)",1,
talk,24,婚后 光子,,,,,
佐天 涙子.fade,out,0.5,
+婚后 光子.fade,out,0.5,
+泡浮 万彬.fade,out,0.5,
+湾内 絹保.fade,out,0.5,
talk,25,佐天 涙子,,,,,
+佐天 涙子.fade,in,0.5,
+初春 飾利.fade,in,0.5,
+place,佐天 涙子,初春 飾利,
talk,26,初春 飾利,,,,,
talk,27,佐天 涙子,,,,,
初春 飾利.fade,out,0.5,
+佐天 涙子.fade,out,0.5,
talk,28,湾内 絹保,,,,,
+初春 飾利.fade,in,0.5,
+泡浮 万彬.fade,in,0.5,
+湾内 絹保.fade,in,0.5,
+place,泡浮 万彬,初春 飾利,湾内 絹保,
+初春 飾利.facial,10,
talk,29,湾内 絹保,,,,,
talk,30,泡浮 万彬,,,,,
talk,31,初春 飾利,,,,,
初春 飾利.fade,out,0.5,
+泡浮 万彬.fade,out,0.5,
+湾内 絹保.fade,out,0.5,
talk,32,佐天 涙子,,,,,
+佐天 涙子.fade,in,0.5,
+婚后 光子.fade,in,0.5,
+place,佐天 涙子,婚后 光子,
+佐天 涙子.move,"(-234,290)","(-234,290)",0,
+婚后 光子.facial,15,
bgm,play,30010007,,,,,
talk,33,婚后 光子,,,,,
talk,34,佐天 涙子,,,,,
婚后 光子.fade,out,0.5,
talk,35,初春 飾利,,,,,
+初春 飾利.fade,in,0.5,
+place,佐天 涙子,初春 飾利,
talk,36,初春 飾利,,,,,
talk,37,佐天 涙子,,,,,
+佐天 涙子.move,"(-234,290)","(80,290)",1,
talk,38,佐天 涙子,,,,,
+se,play,300200001080,,,,,
wait,1.5,
talk,39,初春 飾利,,,,,
+初春 飾利.shake,"(0.10,0)","(10,0)",1,
talk,40,初春 飾利,,,,,
+se,play,300200000640,,,,,
wait,1.5,
talk,41,佐天 涙子,,,,,
+佐天 涙子.move,"(80,290)","(-234,290)",1,
talk,42,佐天 涙子,,,,,
talk,43,初春 飾利,,,,,
talk,44,初春 飾利,,,,,
talk,45,初春 飾利,,,,,
talk,46,佐天 涙子,,,,,
佐天 涙子.fade,out,0.5,
talk,47,湾内 絹保,,,,,
+湾内 絹保.fade,in,0.5,
+place,湾内 絹保,初春 飾利,
talk,48,初春 飾利,,,,,
湾内 絹保.fade,out,0.5,
talk,49,泡浮 万彬,,,,,
+泡浮 万彬.fade,in,0.5,
+place,泡浮 万彬,初春 飾利,
wait,1,
泡浮 万彬.fade,out,0.5,
talk,50,佐天 涙子,,,,,
+佐天 涙子.fade,in,0.5,
+place,佐天 涙子,初春 飾利,
talk,51,初春 飾利,,,,,
+初春 飾利.shake,"(0.10,0)","(10,0)",1,
talk,52,初春 飾利,,,,,
talk,53,佐天 涙子,,,,,
佐天 涙子.fade,out,0.5,
+初春 飾利.fade,out,0.5,
bgm,play,30010001,,,,,
talk,54,泡浮 万彬,,,,,
+湾内 絹保.fade,in,0.5,
+泡浮 万彬.fade,in,0.5,
+佐天 涙子.fade,in,0.5,
+初春 飾利.fade,in,0.5,
+place,湾内 絹保,泡浮 万彬,佐天 涙子,初春 飾利,
+佐天 涙子.facial,10,
+初春 飾利.facial,10,
talk,55,湾内 絹保,,,,,
