#command,param1,param2,param3,param4,
#,
control,1,
image,999999999,0,シーン00,
bgm,stop,,,,
chara,230000701,サテンドレス,10,
chara,230000801,名無しボーイ,10,
chara,230000901,匿名希望ちゃん,10,
chara,510000107,魔術師Ｄ,13,
chara,510000106,魔術師Ｅ,13,
chara,223000101,折原 臨也,21,
chara,222000101,園原 杏里,23,
+place,サテンドレス,名無しボーイ,匿名希望ちゃん,
+focus,on,サテンドレス,,,
シーン00.fade,in,0.1,
bgm,play,30010008,,,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
wait,0.5,
talk,1,サテンドレス,,,
+talk,show,1,
talk,2,匿名希望ちゃん,,,
talk,3,匿名希望ちゃん,,,
talk,4,サテンドレス,,,
talk,5,匿名希望ちゃん,,,
talk,6,サテンドレス,,,
talk,7,名無しボーイ,,,
talk,8,サテンドレス,,,
talk,9,名無しボーイ,,,
talk,10,サテンドレス,,,
talk,11,名無しボーイ,,,
talk,12,サテンドレス,,,
talk,13,名無しボーイ,,,
bgm,stop,
fade,out,1,#000000,0,
シーン00.fade,out,0.1,
stage,20001003,,,,
talk,show,0,
魔術師Ｄ.fade,in,0.5,
+魔術師Ｅ.fade,in,0.5,
+折原 臨也.fade,in,0.5,
+place,魔術師Ｄ,魔術師Ｅ,折原 臨也,
+focus,on,魔術師Ｄ,,,
wait,1,
fade,in,1,#000000,0,
bgm,play,30010011,,,
talk,14,魔術師Ｄ,,,
+talk,show,1,
talk,15,魔術師Ｅ,,,
talk,16,折原 臨也,,,
talk,17,魔術師Ｄ,,,
talk,18,魔術師Ｅ,,,
talk,19,魔術師Ｅ,,,
talk,20,魔術師Ｄ,,,
talk,21,折原 臨也,,,
talk,22,魔術師Ｄ,,,
talk,23,折原 臨也,,,
talk,24,折原 臨也,,,
talk,25,魔術師Ｅ,,,
talk,26,折原 臨也,,,
talk,27,折原 臨也,,,
talk,28,折原 臨也,,,
talk,29,魔術師Ｄ,,,
talk,30,折原 臨也,,,
talk,31,折原 臨也,,,
talk,32,折原 臨也,,,
talk,33,魔術師Ｄ,,,
talk,34,折原 臨也,,,
talk,35,折原 臨也,,,
talk,36,折原 臨也,,,
wait,0.5,
折原 臨也.fade,out,0.5,
talk,37,魔術師Ｄ,,,
bgm,stop,
talk,38,園原 杏里,,,
+se,play,300200000480,,,
+園原 杏里.fade,in,0.5,
+place,魔術師Ｄ,魔術師Ｅ,園原 杏里,
bgm,play,30010010,,,
talk,39,魔術師Ｄ,,,
talk,40,魔術師Ｅ,,,
talk,41,魔術師Ｄ,,,
talk,42,園原 杏里,,,
talk,43,園原 杏里,,,
talk,44,園原 杏里,,,
talk,45,園原 杏里,,,
bgm,stop,
talk,46,園原 杏里,,,
bgm,play,30010017,,,
talk,47,魔術師Ｄ,,,
talk,48,園原 杏里,,,
talk,49,魔術師Ｄ,,,
talk,50,園原 杏里,,,
talk,51,園原 杏里,,,
se,play,300700000030,,,
+screen.effect,ef_com_00000_000_001_00,"(-300,0)",0,0,
wait,0.5,
talk,52,魔術師Ｄ,,,
+魔術師Ｄ.shake,"(0.10,0)","(10,0)",1,
wait,0.5,
se,play,300700000040,,,
+魔術師Ｄ.fade,out,0.5,
talk,53,魔術師Ｅ,,,
talk,54,園原 杏里,,,
se,play,300700000030,,,
+screen.effect,ef_com_00000_000_001_00,"(0,0)",0,0,
wait,0.5,
talk,55,魔術師Ｅ,,,
+魔術師Ｅ.shake,"(0.10,0)","(10,0)",1,
wait,0.5,
se,play,300700000040,,,
+魔術師Ｅ.fade,out,0.5,
wait,1,
bgm,stop,
fade,out,1,#000000,0,
シーン00.fade,out,0.1,
talk,show,0,
place,園原 杏里,
園原 杏里.facial,11,
+focus,on,園原 杏里,
wait,1.5,
fade,in,1,#000000,0,
bgm,play,30010008,,,
talk,56,園原 杏里,,,
+talk,show,1,
talk,57,園原 杏里,,,
wait,2,
fade,out,1,#FFFFFF,0,
screen.effect,stop,
bgm,stop,
wait,1,
[END],
