#command,param1,param2,param3,param4,param5,
#,
control,1,
stage,7001003,,,,,
bgm,stop,,,,,
chara,518000102,鎧騎士,10,
chara,226000101,アルフォンス,10,
chara,1002301,上条 当麻,10,
chara,227000101,ロイ,10,
chara,225000101,エドワード,14,
chara,228000101,リザ,10,
chara,4003201,御坂 美琴,14,
+place,上条 当麻,アルフォンス,エドワード,御坂 美琴,
+focus,on,エドワード,
bgm,play,30010001,,,,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
wait,0.5,
talk,1,エドワード,,,,
+talk,show,1,
talk,2,アルフォンス,,,,
talk,3,エドワード,,,,
talk,4,上条 当麻,,,,
talk,5,上条 当麻,,,,
talk,6,御坂 美琴,,,,
talk,7,アルフォンス,,,,
エドワード.fade,out,0.5,
talk,8,ロイ,,,,
+se,play,300200000480,,,,
+ロイ.fade,in,0.5,
+place,上条 当麻,アルフォンス,ロイ,御坂 美琴,
talk,9,ロイ,,,,
talk,10,御坂 美琴,,,,
talk,11,アルフォンス,,,,
talk,12,ロイ,,,,
talk,13,上条 当麻,,,,
ロイ.fade,out,0.5,
talk,14,エドワード,,,,
+エドワード.fade,in,0.5,
+place,上条 当麻,アルフォンス,エドワード,御坂 美琴,
talk,15,エドワード,,,,
talk,16,エドワード,,,,
エドワード.fade,out,0.5,
talk,17,ロイ,,,,
+ロイ.fade,in,0.5,
+place,上条 当麻,アルフォンス,ロイ,御坂 美琴,
talk,18,ロイ,,,,
talk,19,上条 当麻,,,,
talk,20,御坂 美琴,,,,
bgm,play,30010009,,,,
talk,21,上条 当麻,,,,
talk,22,アルフォンス,,,,
talk,23,上条 当麻,,,,
talk,24,アルフォンス,,,,
talk,25,御坂 美琴,,,,
talk,26,アルフォンス,,,,
talk,27,上条 当麻,,,,
talk,28,アルフォンス,,,,
talk,29,上条 当麻,,,,
ロイ.fade,out,0.5,
talk,30,エドワード,,,,
+エドワード.fade,in,0.5,
+place,上条 当麻,アルフォンス,エドワード,御坂 美琴,
talk,31,エドワード,,,,
talk,32,アルフォンス,,,,
talk,33,上条 当麻,,,,
talk,34,エドワード,,,,
talk,35,上条 当麻,,,,
talk,36,上条 当麻,,,,
アルフォンス.fade,out,0.5,
talk,37,ロイ,,,,
+ロイ.fade,in,0.5,
+place,上条 当麻,ロイ,エドワード,御坂 美琴,
talk,38,ロイ,,,,
talk,39,御坂 美琴,,,,
talk,40,エドワード,,,,
talk,41,上条 当麻,,,,
talk,42,エドワード,,,,
talk,43,上条 当麻,,,,
talk,44,上条 当麻,,,,
talk,45,上条 当麻,,,,
talk,46,ロイ,,,,
talk,47,上条 当麻,,,,
talk,48,上条 当麻,,,,
talk,49,エドワード,,,,
talk,50,ロイ,,,,
talk,51,エドワード,,,,
talk,52,ロイ,,,,
talk,53,上条 当麻,,,,
talk,54,御坂 美琴,,,,
talk,55,御坂 美琴,,,,
bgm,play,30010001,,,,
talk,56,エドワード,,,,
talk,57,上条 当麻,,,,
talk,58,御坂 美琴,,,,
talk,59,御坂 美琴,,,,
talk,60,上条 当麻,,,,
ロイ.fade,out,0.5,
talk,61,アルフォンス,,,,
+アルフォンス.shake,"(0.10,0)","(10,0)",1,
+アルフォンス.fade,in,0.5,
+place,上条 当麻,アルフォンス,エドワード,御坂 美琴,
talk,62,御坂 美琴,,,,
talk,63,アルフォンス,,,,
bgm,stop,,,,,
talk,64,御坂 美琴,,,,
+se,play,300700000840,,,,
wait,1,
talk,65,御坂 美琴,,,,
+御坂 美琴.shake,"(0.10,0)","(10,0)",1,
talk,66,上条 当麻,,,,
talk,67,御坂 美琴,,,,
talk,68,上条 当麻,,,,
talk,69,御坂 美琴,,,,
wait,1,
fade,out,1,#000000,0,
talk,show,0,
上条 当麻.facial,15,
+アルフォンス.facial,10,
+エドワード.facial,11,
+御坂 美琴.facial,15,
+focus,on,エドワード,
wait,1,
fade,in,1,#000000,0,
bgm,play,30010015,,,,
talk,70,エドワード,,,,
+talk,show,1,
talk,71,アルフォンス,,,,
talk,72,エドワード,,,,
talk,73,エドワード,,,,
talk,74,エドワード,,,,
talk,75,御坂 美琴,,,,
talk,76,エドワード,,,,
+se,play,300400000340,,,,
