#command,param1,param2,param3,param4,param5,
#,
control,1,
stage,7004002,,,,,
bgm,stop,,,,,
chara,1002701,上条 当麻,10,
chara,247000101,豊山 琉華,10,
chara,248000101,豊山 琉華(幼女),14,
chara,4003501,御坂 美琴,15,
chara,109000101,パトリシア,10,
chara,105000101,烏丸 府蘭,16,
+place,上条 当麻,御坂 美琴,烏丸 府蘭,豊山 琉華,
+focus,on,烏丸 府蘭,
bgm,play,30010001,,,,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
wait,0.5,
talk,1,烏丸 府蘭,,,,
+talk,show,1,
talk,2,豊山 琉華,,,,
talk,3,上条 当麻,,,,
talk,4,御坂 美琴,,,,
+御坂 美琴.shake,"(0.10,0)","(10,0)",1,
talk,5,上条 当麻,,,,
talk,6,御坂 美琴,,,,
talk,7,御坂 美琴,,,,
talk,8,御坂 美琴,,,,
talk,9,上条 当麻,,,,
+se,play,300200000200,,,,
+上条 当麻.shake,"(0.10,0)","(10,0)",1,
wait,1,
fade,out,1,#000000,0,
bgm,stop,,,,,
stage,21001003,,,,,
talk,show,0,
+上条 当麻.facial,23,
+御坂 美琴.facial,10,
+烏丸 府蘭.facial,10,
+豊山 琉華.facial,10,
+focus,on,上条 当麻,
wait,2,
fade,in,1,#000000,0,
bgm,play,30010008,,,,
talk,10,上条 当麻,,,,
+talk,show,1,
talk,11,上条 当麻,,,,
talk,12,上条 当麻,,,,
talk,13,上条 当麻,,,,
talk,14,豊山 琉華,,,,
bgm,play,30010006,,,,
talk,15,烏丸 府蘭,,,,
talk,16,上条 当麻,,,,
talk,17,烏丸 府蘭,,,,
talk,18,上条 当麻,,,,
talk,19,御坂 美琴,,,,
+御坂 美琴.shake,"(0.10,0)","(10,0)",1,
talk,20,御坂 美琴,,,,
+se,play,300200000200,,,,
wait,2,
talk,21,上条 当麻,,,,
+se,play,300300000280,,,,
+上条 当麻.shake,"(0.10,0)","(10,0)",1,
wait,2,
talk,22,上条 当麻,,,,
talk,23,御坂 美琴,,,,
talk,24,上条 当麻,,,,
wait,1,
fade,out,1,#000000,0,
bgm,stop,,,,,
talk,show,0,
+上条 当麻.facial,10,
+御坂 美琴.facial,10,
+烏丸 府蘭.facial,20,
+豊山 琉華.facial,10,
+focus,on,上条 当麻,
wait,2,
fade,in,1,#000000,0,
bgm,play,30010009,,,,
talk,25,上条 当麻,,,,
+talk,show,1,
talk,26,御坂 美琴,,,,
talk,27,御坂 美琴,,,,
talk,28,烏丸 府蘭,,,,
talk,29,上条 当麻,,,,
talk,30,上条 当麻,,,,
talk,31,烏丸 府蘭,,,,
talk,32,烏丸 府蘭,,,,
talk,33,豊山 琉華,,,,
talk,34,烏丸 府蘭,,,,
talk,35,烏丸 府蘭,,,,
talk,36,烏丸 府蘭,,,,
talk,37,烏丸 府蘭,,,,
talk,38,豊山 琉華,,,,
talk,39,烏丸 府蘭,,,,
talk,40,烏丸 府蘭,,,,
talk,41,烏丸 府蘭,,,,
talk,42,烏丸 府蘭,,,,
talk,43,烏丸 府蘭,,,,
bgm,stop,,,,,
talk,44,御坂 美琴,,,,
talk,45,上条 当麻,,,,
bgm,play,30010011,,,,
talk,46,御坂 美琴,,,,
talk,47,御坂 美琴,,,,
talk,48,上条 当麻,,,,
talk,49,上条 当麻,,,,
talk,50,上条 当麻,,,,
talk,51,御坂 美琴,,,,
+stage.shake,"(0.10,0)","(10,0)",1,
+se,play,300200000260,,,,
+screen.effect,ef_com_00000_002_007_00,"(0,0)",1,0,0,
wait,2,
screen.effect,delete,
talk,52,御坂 美琴,,,,
talk,53,上条 当麻,,,,
talk,54,上条 当麻,,,,
talk,55,上条 当麻,,,,
talk,56,御坂 美琴,,,,
talk,57,上条 当麻,,,,
wait,1,
fade,out,1,#000000,0,
bgm,stop,,,,,
talk,show,0,
+上条 当麻.facial,14,
+御坂 美琴.facial,20,
+烏丸 府蘭.facial,20,
+豊山 琉華.facial,10,
+focus,on,上条 当麻,
wait,2,
fade,in,1,#000000,0,
bgm,play,30010006,,,,
talk,58,上条 当麻,,,,
+talk,show,1,
talk,59,御坂 美琴,,,,
talk,60,上条 当麻,,,,
talk,61,御坂 美琴,,,,
+御坂 美琴.shake,"(0.10,0)","(10,0)",1,
talk,62,御坂 美琴,,,,
bgm,stop,,,,,
talk,63,烏丸 府蘭,,,,
bgm,play,30010008,,,,
talk,64,烏丸 府蘭,,,,
talk,65,烏丸 府蘭,,,,
talk,66,烏丸 府蘭,,,,
talk,67,上条 当麻,,,,
talk,68,烏丸 府蘭,,,,
talk,69,烏丸 府蘭,,,,
wait,1,
fade,out,1,#000000,0,
talk,show,0,
stage,8001004,,,,,
+上条 当麻.facial,15,
+御坂 美琴.facial,10,
+烏丸 府蘭.facial,17,
+豊山 琉華.facial,10,
+focus,on,上条 当麻,
wait,2,
fade,in,1,#000000,0,
talk,70,上条 当麻,,,,
+talk,show,1,
talk,71,御坂 美琴,,,,
talk,72,御坂 美琴,,,,
talk,73,上条 当麻,,,,
talk,74,上条 当麻,,,,
talk,75,上条 当麻,,,,
talk,76,上条 当麻,,,,
talk,77,上条 当麻,,,,
talk,78,御坂 美琴,,,,
bgm,play,30010001,,,,
talk,79,烏丸 府蘭,,,,
talk,80,上条 当麻,,,,
talk,81,上条 当麻,,,,
talk,82,上条 当麻,,,,
talk,83,御坂 美琴,,,,
se,play,300200000012,,,,
+御坂 美琴.move,1,4,1,
+御坂 美琴.fade,out,0.5,
wait,1,
fade,out,1,#000000,0,
talk,show,0,
+上条 当麻.facial,11,
