#command,param1,param2,param3,param4,param5,
#,
control,1,
stage,7017001,,,,,
bgm,stop,
chara,53000101,湾内 絹保,10,
chara,55000101,泡浮 万彬,12,
chara,9000101,婚后 光子,10,
chara,37001601,佐天 涙子,15,
chara,36001301,初春 飾利,12,
chara,4003701,御坂 美琴,12,
chara,5001901,白井 黒子,11,
+place,婚后 光子,泡浮 万彬,湾内 絹保,佐天 涙子,
+focus,on,湾内 絹保,
bgm,play,30010003,,,,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
wait,1,
talk,1,湾内 絹保,,,,
+talk,show,1,
talk,2,婚后 光子,,,,
talk,3,婚后 光子,,,,
talk,4,佐天 涙子,,,,
talk,5,泡浮 万彬,,,,
talk,6,泡浮 万彬,,,,
talk,7,婚后 光子,,,,
talk,8,婚后 光子,,,,
talk,9,婚后 光子,,,,
泡浮 万彬.fade,out,0.5,
talk,10,御坂 美琴,,,,
+御坂 美琴.fade,in,0.5,
+place,婚后 光子,御坂 美琴,湾内 絹保,佐天 涙子,
talk,11,佐天 涙子,,,,
talk,12,婚后 光子,,,,
talk,13,湾内 絹保,,,,
talk,14,佐天 涙子,,,,
talk,15,御坂 美琴,,,,
佐天 涙子.fade,out,0.5,
talk,16,初春 飾利,,,,
+初春 飾利.fade,in,0.5,
+place,婚后 光子,御坂 美琴,湾内 絹保,初春 飾利,
wait,0.5,
湾内 絹保.fade,out,0.5,
talk,17,白井 黒子,,,,
+白井 黒子.fade,in,0.5,
+place,婚后 光子,御坂 美琴,白井 黒子,初春 飾利,
talk,18,御坂 美琴,,,,
talk,19,御坂 美琴,,,,
talk,20,婚后 光子,,,,
wait,1,
fade,out,1,#FFFFFF,0,
talk,show,0,
bgm,stop,
se,play,300300000340,,,,
婚后 光子.fade,out,0.5,
佐天 涙子.fade,in,0.5,
+place,佐天 涙子,初春 飾利,白井 黒子,御坂 美琴,
+佐天 涙子.facial,15,
+初春 飾利.facial,14,
+白井 黒子.facial,13,
+御坂 美琴.facial,14,
+focus,on,佐天 涙子,
wait,2,
fade,in,1,#FFFFFF,0,
bgm,play,30010006,,,,
talk,21,佐天 涙子,,,,
+talk,show,1,
talk,22,初春 飾利,,,,
talk,23,御坂 美琴,,,,
talk,24,白井 黒子,,,,
御坂 美琴.fade,out,0.5,
talk,25,婚后 光子,,,,
+婚后 光子.fade,in,0.5,
+place,佐天 涙子,初春 飾利,白井 黒子,婚后 光子,
talk,26,婚后 光子,,,,
talk,27,婚后 光子,,,,
talk,28,白井 黒子,,,,
婚后 光子.fade,out,0.5,
bgm,stop,
talk,29,湾内 絹保,,,,
+湾内 絹保.fade,in,0.5,
+place,佐天 涙子,初春 飾利,白井 黒子,湾内 絹保,
bgm,play,30010009,,,,
talk,30,佐天 涙子,,,,
talk,31,湾内 絹保,,,,
talk,32,白井 黒子,,,,
talk,33,白井 黒子,,,,
湾内 絹保.fade,out,0.5,
talk,34,御坂 美琴,,,,
+御坂 美琴.fade,in,0.5,
+place,佐天 涙子,初春 飾利,白井 黒子,御坂 美琴,
talk,35,初春 飾利,,,,
talk,36,初春 飾利,,,,
talk,37,初春 飾利,,,,
佐天 涙子.fade,out,0.5,
talk,38,婚后 光子,,,,
+婚后 光子.fade,in,0.5,
+place,婚后 光子,初春 飾利,白井 黒子,御坂 美琴,
talk,39,初春 飾利,,,,
talk,40,婚后 光子,,,,
talk,41,御坂 美琴,,,,
talk,42,婚后 光子,,,,
talk,43,婚后 光子,,,,
wait,1,
fade,out,1,#FFFFFF,0,
talk,show,0,
bgm,stop,
se,play,300300000340,,,,
婚后 光子.fade,out,0.5,
+初春 飾利.fade,out,0.5,
佐天 涙子.fade,in,0.5,
+湾内 絹保.fade,in,0.5,
+place,佐天 涙子,御坂 美琴,白井 黒子,湾内 絹保,
+佐天 涙子.facial,12,
+湾内 絹保.facial,10,
+白井 黒子.facial,10,
+御坂 美琴.facial,12,
+focus,on,佐天 涙子,
wait,2,
fade,in,1,#FFFFFF,0,
bgm,play,30010022,,,,
talk,44,佐天 涙子,,,,
+talk,show,1,
talk,45,御坂 美琴,,,,
talk,46,湾内 絹保,,,,
talk,47,白井 黒子,,,,
talk,48,湾内 絹保,,,,
talk,49,御坂 美琴,,,,
talk,50,御坂 美琴,,,,
wait,1,
佐天 涙子.fade,out,0.5,
+御坂 美琴.fade,out,0.5,
+白井 黒子.fade,out,0.5,
+湾内 絹保.fade,out,0.5,
+talk,show,0,
talk,51,婚后たち,,,,
+talk,show,1,
+婚后 光子.fade,in,0.5,
+泡浮 万彬.fade,in,0.5,
+湾内 絹保.fade,in,0.5,
+place,婚后 光子,泡浮 万彬,湾内 絹保,
+婚后 光子.facial,17,
+泡浮 万彬.facial,17,
+湾内 絹保.facial,17,
+focus,on,婚后 光子,泡浮 万彬,湾内 絹保,
wait,2,
婚后 光子.fade,out,0.5,
+泡浮 万彬.fade,out,0.5,
+湾内 絹保.fade,out,0.5,
+talk,show,0,
talk,52,婚后 光子,,,,
+talk,show,1,
+婚后 光子.fade,in,0.5,
+泡浮 万彬.fade,in,0.5,
+湾内 絹保.fade,in,0.5,
+御坂 美琴.fade,in,0.5,
+place,婚后 光子,泡浮 万彬,湾内 絹保,御坂 美琴,
talk,53,御坂 美琴,,,,
talk,54,婚后 光子,,,,
talk,55,泡浮 万彬,,,,
talk,56,湾内 絹保,,,,
talk,57,御坂 美琴,,,,
湾内 絹保.fade,out,0.5,
talk,58,佐天 涙子,,,,
+佐天 涙子.fade,in,0.5,
+place,婚后 光子,泡浮 万彬,佐天 涙子,御坂 美琴,
talk,59,佐天 涙子,,,,
talk,60,御坂 美琴,,,,
talk,61,婚后 光子,,,,
talk,62,婚后 光子,,,,
talk,63,婚后 光子,,,,
