#command,param1,param2,param3,param4,
#,
control,1,
stage,17002001,,,,
bgm,stop,
chara,506000206,男性客Ａ,10,
chara,513000106,女性客Ａ,10,
chara,508000106,司会,12,
chara,66000101,浜面 仕上,15,
chara,102001001,削板 軍覇,21,
chara,20000401,滝壺 理后,10,
chara,18000401,絹旗 最愛,10,
chara,93000701,帆風 潤子,12,
chara,37000401,佐天 涙子,15,
chara,11001302,麦野 沈利,13,
chara,56000801,雲川 芹亜,20,
chara,10002401,食蜂 操祈,15,
chara,4003601,御坂 美琴,14,
chara,5001101,白井 黒子,12,
chara,36000401,初春 飾利,15,
+place,削板 軍覇,司会,
+focus,on,司会,
bgm,play,30010006,,,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
wait,1,
talk,1,司会,,,
+talk,show,1,
talk,2,削板 軍覇,,,
+screen.effect,ef_com_00000_001_000_00,"(0,0)",2,0,
wait,3,
screen.effect,delete,
talk,3,司会,,,
削板 軍覇.fade,out,0.5,
+司会.fade,out,0.5,
talk,4,食蜂 操祈,,,
+麦野 沈利.fade,in,0.5,
+御坂 美琴.fade,in,0.5,
+食蜂 操祈.fade,in,0.5,
+雲川 芹亜.fade,in,0.5,
+place,麦野 沈利,御坂 美琴,食蜂 操祈,雲川 芹亜,
talk,5,雲川 芹亜,,,
talk,6,麦野 沈利,,,
talk,7,御坂 美琴,,,
麦野 沈利.fade,out,0.5,
+御坂 美琴.fade,out,0.5,
+食蜂 操祈.fade,out,0.5,
+雲川 芹亜.fade,out,0.5,
bgm,play,30010001,,,
talk,8,司会,,,
+削板 軍覇.fade,in,0.5,
+司会.fade,in,0.5,
+place,削板 軍覇,司会,
+削板 軍覇.facial,10,
talk,9,削板 軍覇,,,
talk,10,削板 軍覇,,,
talk,11,削板 軍覇,,,
削板 軍覇.fade,out,0.5,
+司会.fade,out,0.5,
talk,12,御坂 美琴,,,
+佐天 涙子.fade,in,0.5,
+初春 飾利.fade,in,0.5,
+白井 黒子.fade,in,0.5,
+御坂 美琴.fade,in,0.5,
+place,佐天 涙子,初春 飾利,白井 黒子,御坂 美琴,
talk,13,白井 黒子,,,
+screen.effect,ef_com_00000_001_007_00,"(117,0)",0,0,
wait,1,
screen.effect,delete,
talk,14,御坂 美琴,,,
talk,15,初春 飾利,,,
