#command,param1,param2,param3,param4,
#,
control,1,
stage,17002002,,,,
bgm,stop,
chara,1000201,上条 当麻,14,
chara,37000201,佐天 涙子,14,
chara,4000202,御坂 美琴,12,
chara,5000201,白井 黒子,13,
chara,36000201,初春 飾利,14,
+place,佐天 涙子,初春 飾利,白井 黒子,御坂 美琴,
+focus,on,白井 黒子,
bgm,play,30010001,,,
fade,in,1,#000000,0,
+talk,start,
+talk,show,0,
wait,1,
talk,1,白井 黒子,,,
+talk,show,1,
talk,2,佐天 涙子,,,
talk,3,初春 飾利,,,
talk,4,白井 黒子,,,
talk,5,御坂 美琴,,,
佐天 涙子.fade,out,0.5,
+初春 飾利.fade,out,0.5,
+御坂 美琴.fade,out,0.5,
+白井 黒子.fade,out,0.5,
+talk,show,0,
bgm,stop,
wait,1,
talk,6,上条 当麻,,,
+se,play,300200000480,,,
+talk,show,1,
+上条 当麻.fade,in,0.5,
+御坂 美琴.fade,in,0.5,
+御坂 美琴.facial,15,
+place,上条 当麻,御坂 美琴,
talk,7,御坂 美琴,,,
bgm,play,30010002,,,
上条 当麻.fade,out,0.5,
+御坂 美琴.fade,out,0.5,
talk,8,佐天 涙子,,,
+佐天 涙子.fade,in,0.5,
+初春 飾利.fade,in,0.5,
+初春 飾利.facial,10,
+place,佐天 涙子,初春 飾利,
talk,9,初春 飾利,,,
佐天 涙子.fade,out,0.5,
+初春 飾利.fade,out,0.5,
talk,10,上条 当麻,,,
+上条 当麻.fade,in,0.5,
+御坂 美琴.fade,in,0.5,
+place,上条 当麻,御坂 美琴,
talk,11,御坂 美琴,,,
talk,12,上条 当麻,,,
talk,13,上条 当麻,,,
talk,14,上条 当麻,,,
talk,15,御坂 美琴,,,
+御坂 美琴.shake,"(0.10,0)","(10,0)",1,
talk,16,御坂 美琴,,,
talk,17,上条 当麻,,,
talk,18,御坂 美琴,,,
talk,19,上条 当麻,,,
talk,20,御坂 美琴,,,
talk,21,上条 当麻,,,
talk,22,御坂 美琴,,,
bgm,stop,
上条 当麻.fade,out,0.5,
+御坂 美琴.fade,out,0.5,
+talk,show,0,
wait,1,
bgm,play,30010006,,,
talk,23,白井 黒子,,,
+talk,show,1,
+白井 黒子.fade,in,0.5,
+御坂 美琴.fade,in,0.5,
+上条 当麻.fade,in,0.5,
+上条 当麻.facial,21,
+place,白井 黒子,御坂 美琴,上条 当麻,
talk,24,御坂 美琴,,,
talk,25,白井 黒子,,,
talk,26,上条 当麻,,,
talk,27,白井 黒子,,,
talk,28,白井 黒子,,,
talk,29,御坂 美琴,,,
+御坂 美琴.shake,"(0.10,0)","(10,0)",1,
talk,30,白井 黒子,,,
白井 黒子.fade,out,0.5,
+御坂 美琴.fade,out,0.5,
+上条 当麻.fade,out,0.5,
talk,31,佐天 涙子,,,
+佐天 涙子.fade,in,0.5,
+初春 飾利.fade,in,0.5,
+初春 飾利.facial,13,
+place,佐天 涙子,初春 飾利,
talk,32,初春 飾利,,,
佐天 涙子.fade,out,0.5,
+初春 飾利.fade,out,0.5,
talk,33,白井 黒子,,,
+佐天 涙子.fade,in,0.5,
+初春 飾利.fade,in,0.5,
+白井 黒子.fade,in,0.5,
+place,佐天 涙子,白井 黒子,初春 飾利,
+佐天 涙子.move,"(-321,290)","(-800,290)",0,
+初春 飾利.move,"(321,290)","(800,290)",0,
+白井 黒子.shake,"(0.10,0)","(10,0)",1,
+佐天 涙子.facial,12,
+初春 飾利.facial,12,
佐天 涙子.move,"(-800,290)","(-150,290)",0.5,
+初春 飾利.move,"(800,290)","(150,290)",0.5,
+focus,on,佐天 涙子,初春 飾利,
+se,play,300200000550,,,
wait,1,
talk,34,佐天 涙子,,,
talk,35,初春 飾利,,,
talk,36,白井 黒子,,,
+白井 黒子.shake,"(0.10,0)","(10,0)",1,
wait,0.5,
bgm,stop,
se,play,300200000072,,,
+佐天 涙子.move,"(-150,290)","(600,290)",1,
+白井 黒子.move,"(0,290)","(600,290)",1,
+初春 飾利.move,"(150,290)","(600,290)",1,
+佐天 涙子.fade,out,0.5,
+初春 飾利.fade,out,0.5,
+白井 黒子.fade,out,0.5,
+talk,show,0,
