#command,param1,param2,param3,param4,
#,
print,chapter1,
stage,007004001,,,,
control,1,
bgm,stop,
+image,999999999,0,シーン00,
chara,66000101,浜面 仕上,10,
chara,11000101,麦野 沈利,10,
chara,20000101,滝壺 理后,10,
chara,19000101,フレンダ,10,
chara,18000101,絹旗 最愛,10,
place,浜面 仕上,麦野 沈利,フレンダ,絹旗 最愛,
+focus,on,浜面 仕上,
+浜面 仕上.fade,in,0.5,
+滝壺 理后.fade,in,0.5,
+フレンダ.fade,in,0.5,
+絹旗 最愛.fade,in,0.5,
+麦野 沈利.fade,in,0.5,
+talk,start,
+talk,show,0,
fade,in,1,#000000,0,
bgm,play,30010001,,,
wait,0.5,
talk,show,1,
+talk,1,浜面 仕上,,,
talk,2,麦野 沈利,,,
talk,3,浜面 仕上,,,
talk,4,フレンダ,,,
talk,5,絹旗 最愛,,,
talk,6,麦野 沈利,,,
talk,7,浜面 仕上,,,
wait,1,,,,
talk,show,0,
+麦野 沈利.fade,out,0.5,
place,浜面 仕上,滝壺 理后,絹旗 最愛,フレンダ,
+滝壺 理后.fade,in,0.5,
talk,8,滝壺 理后,,,
+talk,show,1,,,
wait,1,,,,
fade,out,1,#FFFFFF,0,
talk,show,0,
+滝壺 理后.fade,out,0.5,
stage,010001001,,,,
place,浜面 仕上,麦野 沈利,絹旗 最愛,フレンダ,
+浜面 仕上.fade,in,0.5,
+フレンダ.fade,in,0.5,
+絹旗 最愛.fade,in,0.5,
+麦野 沈利.fade,in,0.5,
wait,2,
fade,in,1,#FFFFFF,0,
talk,9,フレンダ,,,
+talk,show,1,
talk,10,絹旗 最愛,,,
talk,11,麦野 沈利,,,
talk,12,浜面 仕上,,,
wait,1,,,,
talk,show,0,
+麦野 沈利.fade,out,0.5,
place,浜面 仕上,滝壺 理后,絹旗 最愛,フレンダ,
+滝壺 理后.fade,in,0.5,
+滝壺 理后.facial,11,
talk,13,滝壺 理后,,,
+talk,show,1,
talk,14,浜面 仕上,,,
talk,15,滝壺 理后,,,
talk,16,滝壺 理后,,,
wait,1,,,,
fade,out,1,#FFFFFF,0,
talk,show,0,
+滝壺 理后.fade,out,0.5,
+浜面 仕上.fade,out,0.5,
+フレンダ.fade,out,0.5,
+絹旗 最愛.fade,out,0.5,
bgm,stop,1,
place,浜面 仕上,滝壺 理后,
+浜面 仕上.fade,in,0.5,
+滝壺 理后.fade,in,0.5,
wait,2,
bgm,play,30010002,,,
fade,in,1,#FFFFFF,0,
talk,17,浜面 仕上,,,
+talk,show,1,
talk,18,滝壺 理后,,,
talk,19,浜面 仕上,,,
talk,20,滝壺 理后,,,
talk,21,浜面 仕上,,,
talk,22,滝壺 理后,,,
talk,23,浜面 仕上,,,
talk,24,滝壺 理后,,,
talk,25,浜面 仕上,,,
talk,26,滝壺 理后,,,
talk,27,浜面 仕上,,,
talk,28,滝壺 理后,,,
talk,29,浜面 仕上,,,
talk,30,滝壺 理后,,,
talk,31,浜面 仕上,,,
talk,32,滝壺 理后,,,
talk,33,浜面 仕上,,,
+bgm,play,30010006,,,
talk,34,滝壺 理后,,,
talk,35,浜面 仕上,,,
talk,36,滝壺 理后,,,
talk,37,浜面 仕上,,,
talk,38,浜面 仕上,,,
浜面 仕上.fade,out,0.5,
+se,play,300200000012,,,
talk,39,滝壺 理后,,,
talk,40,滝壺 理后,,,
wait,1,,,,
fade,out,1,#FFFFFF,0,
talk,show,0,
stage,7004001,,,,
bgm,stop,1,
wait,2,
浜面 仕上.fade,in,0.5,
bgm,play,30010002,,,
fade,in,1,#FFFFFF,0,
talk,41,浜面 仕上,,,
+talk,show,1,
+浜面 仕上.shake,"(0.10,0)","(10,0)",1,
talk,42,滝壺 理后,,,
talk,43,浜面 仕上,,,
+浜面 仕上.shake,"(0.10,0)","(10,0)",1,
talk,44,滝壺 理后,,,
talk,45,浜面 仕上,,,
talk,46,滝壺 理后,,,
se,play,300400000300,,,
talk,47,浜面 仕上,,,
wait,1,,,,
fade,out,1,#FFFFFF,0,
talk,show,0,
stage,007009001,,,,
wait,2,
se,play,300300000410,,,
fade,in,1,#FFFFFF,0,
talk,48,浜面 仕上,,,
+talk,show,1,
talk,49,滝壺 理后,,,
talk,50,浜面 仕上,,,
talk,51,滝壺 理后,,,
talk,52,浜面 仕上,,,
talk,53,滝壺 理后,,,
talk,54,浜面 仕上,,,
+bgm,play,30010006,,,
talk,55,滝壺 理后,,,
talk,56,浜面 仕上,,,
wait,1,,,,
fade,out,1,#FFFFFF,0,
talk,show,0,
+滝壺 理后.fade,out,0.5,
+浜面 仕上.fade,out,0.5,
stage,010001001,,,,
bgm,stop,1,
place,麦野 沈利,滝壺 理后,絹旗 最愛,フレンダ,
+麦野 沈利.fade,in,0.5,
+滝壺 理后.fade,in,0.5,
+絹旗 最愛.fade,in,0.5,
+フレンダ.fade,in,0.5,
wait,2,
bgm,play,30010002,,,
fade,in,1,#FFFFFF,0,
talk,57,麦野 沈利,,,
+talk,show,1,
talk,58,滝壺 理后,,,
talk,59,麦野 沈利,,,
talk,60,フレンダ,,,
talk,61,絹旗 最愛,,,
talk,62,滝壺 理后,,,
talk,63,滝壺 理后,,,
wait,3,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],
