#command,param1,param2,param3,param4,
#,
print,ステイル チャプター07,
control,1,
bgm,stop,
+image,999999999,0,シーン00,,
+シーン00.fade,in,0.1,
bgm,play,030010018,1,,
chara,60000101,店員,10,
chara,2000101,インデックス,10,
chara,1000101,上条当麻,10,
chara,24000101,ステイル,10,
talk,start,
+talk,show,0,
+fade,in,1.0,#000000,0,
talk,1,ステイル,,,
+talk,show,1,
+ステイル.fade,in,0.5,
+place,ステイル,
fade,out,1.5,#FFFFFF,0,
bgm,play,030010015,,,
+シーン00.fade,out,0.1,
stage,7008001,,,,
ステイル.fade,out,0.1,
+talk,show,0,
wait,0.5,
fade,in,1.5,#FFFFFF,0,
talk,2,ステイル,,,
+talk,show,1,
+ステイル.fade,in,0.5,
+place,ステイル,
talk,3,ステイル,,,
talk,4,ステイル,,,
talk,5,ステイル,,,
talk,6,ステイル,,,
talk,7,ステイル,,,
fade,out,1,#FFFFFF,0,
bgm,play,030010005,1,,
stage,7002001,,,,
ステイル.fade,out,0.1,
+talk,show,0,
wait,0.5,
fade,in,1,#FFFFFF,0,
talk,8,上条当麻,,,
+talk,show,1,
+上条当麻.fade,in,0.5,
+place,上条当麻,空白,
talk,9,インデックス,,,
+インデックス.fade,in,0.5,
+place,上条当麻,インデックス,
talk,10,上条当麻,,,
talk,11,インデックス,,,
fade,out,1,#FFFFFF,0,
stage,7008001,,,,
インデックス.fade,out,0.1,
+上条当麻.fade,out,0.1,
+talk,show,0,
wait,0.5,
fade,in,1,#FFFFFF,0,
talk,12,ステイル,,,
+talk,show,1,
+ステイル.fade,in,0.5,
+place,ステイル,
talk,13,ステイル,,,
fade,out,1.5,#FFFFFF,0,
stage,7002001,,,,
ステイル.fade,out,0.1,
+talk,show,0,
wait,0.5,
fade,in,1.5,#FFFFFF,0,
talk,14,インデックス,,,
+talk,show,1,
+インデックス.fade,in,0.5,
+place,ステイル,上条当麻,インデックス,
talk,15,上条当麻,,,
+上条当麻.fade,in,0.5,
talk,16,ステイル,,,
+ステイル.fade,in,0.5,
talk,17,上条当麻,,,
talk,18,ステイル,,,
talk,19,ステイル,,,
talk,20,上条当麻,,,
talk,21,ステイル,,,
talk,22,インデックス,,,
talk,23,インデックス,,,
talk,24,ステイル,,,
bgm,play,030010001,1,,
talk,25,インデックス,,,
talk,26,ステイル,,,
talk,27,インデックス,,,
talk,28,上条当麻,,,
talk,29,インデックス,,,
talk,30,上条当麻,,,
talk,31,上条当麻,,,
talk,32,ステイル,,,
talk,33,上条当麻,,,
talk,34,上条当麻,,,
talk,35,ステイル,,,
talk,36,インデックス,,,
talk,37,上条当麻,,,
talk,38,インデックス,,,
talk,39,インデックス,,,
talk,40,ステイル,,,
talk,41,インデックス,,,
talk,42,上条当麻,,,
上条当麻.move,5,1.0,
+上条当麻.fade,out,1.0,
talk,43,ステイル,,,
talk,44,インデックス,,,
talk,45,ステイル,,,
talk,46,インデックス,,,
fade,out,1.5,#FFFFFF,0,
bgm,play,030010003,1,,
stage,007007001,,,,
ステイル.fade,out,0.1,
+インデックス.fade,out,0.1,
+talk,show,0,
wait,0.5,
fade,in,1.5,#FFFFFF,0,
talk,47,インデックス,,,
+talk,show,1,
+インデックス.fade,in,0.5,
+place,ステイル,インデックス,
talk,48,インデックス,,,
talk,49,ステイル,,,
+ステイル.fade,in,0.5,
talk,50,インデックス,,,
talk,51,ステイル,,,
talk,52,インデックス,,,
talk,53,ステイル,,,
talk,54,インデックス,,,
talk,55,ステイル,,,
talk,56,インデックス,,,
talk,57,インデックス,,,
talk,58,ステイル,,,
se,play,0300200000460,,,
talk,59,インデックス,,,
fade,out,1.5,#FFFFFF,0,
ステイル.fade,out,0.1,
+インデックス.fade,out,0.1,
+talk,show,0,
wait,0.5,
fade,in,1.5,#FFFFFF,0,
bgm,play,030010004,,,
talk,60,インデックス,,,
+talk,show,1,
+インデックス.fade,in,0.5,
+place,ステイル,インデックス,空白,
talk,61,店員,,,
+店員.fade,in,0.5,
+place,ステイル,インデックス,店員,
店員.fade,out,0.5,
talk,62,インデックス,,,
talk,63,インデックス,,,
talk,64,ステイル,,,
+ステイル.fade,in,0.5,
talk,65,インデックス,,,
talk,66,ステイル,,,
talk,67,インデックス,,,
talk,68,ステイル,,,
talk,69,インデックス,,,
talk,70,ステイル,,,
wait,1,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],








