#command,param1,param2,param3,param4,
#,イロジカケ,
control,1,
chara,21000101,御坂妹,10,
chara,2000101,インデックス,10,
talk,start,
+talk,show,0,
stage,1002003,
+fade,in,1.0,#000000,0,
+bgm,play,030010007,,,
talk,1,インデックス,,,
+talk,show,1,
+インデックス.fade,in,0.5,
+place,空白,インデックス,
talk,2,御坂妹,,,
+御坂妹.fade,in,0.5,
+place,御坂妹,インデックス,
talk,3,インデックス,,,
talk,4,御坂妹,,,
talk,5,御坂妹,,,
talk,6,インデックス,,,
talk,7,御坂妹,,,
+se,play,0300400000320,,,
+御坂妹.shake,"(0.50,0)","(1,2)",2,
talk,8,インデックス,,,
+se,play,0300400000320,,,
+インデックス.shake,"(0.50,0)","(1,2)",2,
talk,9,御坂妹,,,
+se,play,0300400000320,,,
+御坂妹.shake,"(0.50,0)","(1,2)",2,
talk,10,インデックス,,,
wait,1,,,,
fade,out,1.0,#FFFFFF,0,
bgm,stop,
wait,1,
[END],

