#command,param1,param2,param3,param4,
#,わたくしのお姉様,
control,1,
chara,5000101,c_白井黒子,11,
chara,4000102,c_御坂美琴,14,
talk,start,
+talk,show,0,
stage,7001001,
+fade,in,1.0,#FFFFFF,0,
+bgm,play,030010001,,,
#talk,0,,,,
#+talk,show,1,
talk,1,c_白井黒子,,,
+talk,show,1,
+c_白井黒子.fade,in,0.5,
+place,c_白井黒子,空白,
+screen.effect,ef_com_00000_001_007_00,"(0,0)",1,0,
talk,2,c_御坂美琴,,,
+c_御坂美琴.fade,in,0.5,
+place,c_白井黒子,c_御坂美琴,
talk,3,c_白井黒子,,,
talk,4,c_御坂美琴,,,
talk,5,c_白井黒子,,,
talk,6,c_御坂美琴,,,
talk,7,c_白井黒子,,,
talk,8,c_御坂美琴,,,
bgm,stop,
talk,end,










































