#command,param1,param2,param3,param4,
#,モノクロの少年,
control,1,
chara,22000101,c_ラストオーダー,10,
chara,13001001,c_一方通行,20,
talk,start,
+talk,show,0,
stage,7001001,
+fade,in,1.0,#FFFFFF,0,
+bgm,play,030010001,,,
#talk,0,,,,
#+talk,show,1,
talk,1,c_ラストオーダー,,,
+talk,show,1,
+c_ラストオーダー.fade,in,0.5,
+place,c_ラストオーダー,空白,
talk,2,c_一方通行,,,
+c_一方通行.fade,in,0.5,
+place,c_ラストオーダー,c_一方通行,
talk,3,c_ラストオーダー,,,
talk,4,c_一方通行,,,
talk,5,c_ラストオーダー,,,
talk,6,c_一方通行,,,
talk,7,c_ラストオーダー,,,
talk,8,c_一方通行,,,
talk,9,c_ラストオーダー,,,
talk,10,c_一方通行,,,
bgm,stop,
talk,end,








































