#command,param1,param2,param3,param4,
#,深刻な悩み,
control,1,
chara,23000101,c_姫神秋沙,10,
chara,6000101,c_月詠小萌,15,
talk,start,
+talk,show,0,
stage,7001001,
+fade,in,1.0,#FFFFFF,0,
+bgm,play,030010001,,,
#talk,0,,,,
#+talk,show,1,
talk,1,c_姫神秋沙,,,
+talk,show,1,
+c_姫神秋沙.fade,in,0.5,
+place,c_姫神秋沙,空白,
talk,2,c_月詠小萌,,,
+c_月詠小萌.fade,in,0.5,
+place,c_姫神秋沙,c_月詠小萌,
talk,3,c_姫神秋沙,,,
talk,4,c_月詠小萌,,,
talk,5,c_姫神秋沙,,,
talk,6,c_月詠小萌,,,
talk,7,c_姫神秋沙,,,
talk,8,c_月詠小萌,,,
talk,9,c_姫神秋沙,,,
talk,10,c_月詠小萌,,,
bgm,stop,
talk,end,







































