#command,param1,param2,param3,param4,
#,科学オンチ,
control,1,
chara,2000101,c_インデックス,14,
chara,1000101,c_上条当麻,10,
talk,start,
+talk,show,0,
stage,7001001,
+fade,in,1.0,#FFFFFF,0,
+bgm,play,030010001,,,
#talk,0,,,,
#+talk,show,1,
talk,1,c_インデックス,,,
+talk,show,1,
+c_インデックス.fade,in,0.5,
+place,c_インデックス,空白,
talk,2,c_上条当麻,,,
+c_上条当麻.fade,in,0.5,
+place,c_インデックス,c_上条当麻,
talk,3,c_インデックス,,,
talk,4,c_上条当麻,,,
talk,5,c_インデックス,,,
talk,6,c_上条当麻,,,
talk,7,c_インデックス,,,
talk,8,c_上条当麻,,,
talk,9,c_インデックス,,,
talk,10,c_インデックス,,,
se,play,0300200000180,,,
talk,11,c_上条当麻,,,
bgm,stop,
talk,end,










































