#command,param1,param2,param3,param4,
#,英国紳士,
control,1,
chara,24000101,c_ステイル,10,
chara,25000101,c_神裂火織,10,
talk,start,
+talk,show,0,
stage,7001001,
+fade,in,1.0,#FFFFFF,0,
+bgm,play,030010001,,,
#talk,0,,,,
#+talk,show,1,
talk,1,c_神裂火織,,,
+talk,show,1,
+c_神裂火織.fade,in,0.5,
+place,c_神裂火織,空白,
talk,2,c_ステイル,,,
+c_ステイル.fade,in,0.5,
+place,c_神裂火織,c_ステイル,
talk,3,c_神裂火織,,,
talk,4,c_ステイル,,,
talk,5,c_神裂火織,,,
talk,6,c_ステイル,,,
talk,7,c_神裂火織,,,
talk,8,c_ステイル,,,
bgm,stop,
talk,end,







































