#command,param1,param2,param3,param4,
#,
control,1,,,,
chara,20000101,滝壺 理后,10,,
talk,start,,,,
+talk,show,0,,,
place,滝壺 理后,,,,
+滝壺 理后.fade,out,0.1,,,
stage,015001001,,,,
+fade,in,1.0,#000000,0,
+bgm,play,30010001,1,,
# 会話開始,
talk,1,滝壺 理后,,,
+talk,show,1,,,
+滝壺 理后.fade,in,0.5,,,
talk,2,滝壺 理后,,,
+se,play,0300200000550,,,
+滝壺 理后.shake,"(0.90,0)","(1,2)",2,
talk,3,滝壺 理后,,,
talk,4,滝壺 理后,,,
talk,5,滝壺 理后,,,
talk,6,滝壺 理后,,,
talk,7,滝壺 理后,,,
talk,8,滝壺 理后,,,
talk,9,滝壺 理后,,,
talk,10,滝壺 理后,,,
talk,11,滝壺 理后,,,
talk,12,滝壺 理后,,,
talk,13,滝壺 理后,,,
se,play,0300100000010,,,
wait,0.5,
talk,14,滝壺 理后,,,
+se,play,0300100000020,
wait,1,,,,
fade,out,1.0,#FFFFFF,0,
bgm,stop,
wait,1,
[END],


















































