#command,param1,param2,param3,param4,
#,
control,1,
chara,33000101,アンジェレネ,10,
chara,32000101,ルチア,10,
talk,start,
+talk,show,0,
place,ルチア,アンジェレネ,
+アンジェレネ.fade,out,0.1,
+ルチア.fade,out,0.1,
stage,021001001,,,,
+fade,in,1.0,#000000,0,
+bgm,play,30010003,1,,
talk,1,アンジェレネ,,,
+talk,show,1,
+アンジェレネ.fade,in,0.5,
talk,2,ルチア,,,
+ルチア.fade,in,0.5,
talk,3,ルチア,,,
talk,4,アンジェレネ,,,
talk,5,ルチア,,,
talk,6,アンジェレネ,,,
+se,play,0300200000790,,,
+アンジェレネ.shake,"(0,0.5,0)","(0,3)",1,
wait,1,
talk,7,ルチア,,,
talk,8,アンジェレネ,,,
talk,9,ルチア,,,
talk,10,アンジェレネ,,,
wait,1,,,,
fade,out,1.0,#FFFFFF,0,
bgm,stop,
wait,1,
[END],







































