#command,param1,param2,param3,param4,
#,
print,組織のチュートリアル,
wait_busy,,,,,
chara,6000101,月詠小萌,10,
front_fader,1,
stage,#00000080,
overlay,1,
talk,1,月詠小萌,
+talk,show,1,
+月詠小萌.fade,in,0.5,
+place,月詠小萌,空白,空白,空白,
+tips,2315001,
talk,101,月詠小萌,
talk,102,月詠小萌,
talk,201,月詠小萌,
+tips,2315007,
talk,202,月詠小萌,
talk,203,月詠小萌,
talk,301,月詠小萌,
+tips,2315008,
talk,302,月詠小萌,
talk,303,月詠小萌,
talk,401,月詠小萌,
+tips,2315009,
talk,402,月詠小萌,
talk,403,月詠小萌,
talk,404,月詠小萌,
talk,501,月詠小萌,
+tips,0,
talk,502,月詠小萌,
talk,503,月詠小萌,
talk,504,月詠小萌,
talk,505,月詠小萌,
talk,506,月詠小萌,
talk,507,月詠小萌,
talk,clear,
+talk,show,0,
+月詠小萌.fade,out,0.5,
overlay,0,
front_fader,0,
next_tutorial,,,,,
end,,,,,















































