#command,param1,param2,param3,param4,
#,
print,イベント（レイドTOP）,
talk,show,0,
wait_busy,,,,,
chara,6000101,月詠小萌,10,
front_fader,1,
stage,#00000080,
overlay,1,
talk,1,月詠小萌,
+talk,show,1,
+月詠小萌.fade,in,0.5,
+place,月詠小萌,空白,空白,空白,
talk,2,月詠小萌,
talk,3,月詠小萌,
talk,101,月詠小萌,
+tips,2310012,
talk,102,月詠小萌,
talk,103,月詠小萌,
talk,104,月詠小萌,
talk,105,月詠小萌,
talk,106,月詠小萌,
talk,107,月詠小萌,
talk,108,月詠小萌,
talk,201,月詠小萌,
+tips,2310013,
talk,202,月詠小萌,
talk,203,月詠小萌,
talk,204,月詠小萌,
talk,301,月詠小萌,
+tips,2310003,
talk,302,月詠小萌,
talk,401,月詠小萌,
talk,402,月詠小萌,
+tips,2310014,
talk,403,月詠小萌,
talk,404,月詠小萌,
talk,405,月詠小萌,
talk,406,月詠小萌,
talk,407,月詠小萌,
+tips,2310015,
talk,408,月詠小萌,
talk,409,月詠小萌,
talk,clear,
+talk,show,0,
+月詠小萌.fade,out,0.5,
+tips,0,
overlay,0,
front_fader,0,
end,,,,,














































