#command,param1,param2,param3,param4,
#,
print,イベント（組織戦線TOP）,
talk,show,0,
wait_busy,,,,,
chara,6000101,月詠小萌,10,
front_fader,1,
stage,#00000080,
overlay,1,
talk,1,月詠小萌,
+talk,show,1,
+月詠小萌.fade,in,0.5,
+place,月詠小萌,空白,空白,空白,
talk,2,月詠小萌,
talk,901,月詠小萌,
+tips,2315006,
talk,902,月詠小萌,
talk,903,月詠小萌,
talk,904,月詠小萌,
talk,905,月詠小萌,
talk,906,月詠小萌,
talk,907,月詠小萌,
talk,911,月詠小萌,
+tips,2500006,
talk,912,月詠小萌,
talk,913,月詠小萌,
+tips,0,
talk,101,月詠小萌,
+tips,2315001,
talk,102,月詠小萌,
talk,103,月詠小萌,
talk,201,月詠小萌,
talk,202,月詠小萌,
talk,203,月詠小萌,
talk,204,月詠小萌,
talk,301,月詠小萌,
+tips,2315005,
talk,302,月詠小萌,
talk,303,月詠小萌,
talk,401,月詠小萌,
+tips,0,
talk,402,月詠小萌,
+tips,2315002,
talk,403,月詠小萌,
talk,404,月詠小萌,
talk,501,月詠小萌,
+tips,2315003,
talk,502,月詠小萌,
talk,503,月詠小萌,
+tips,2315004,
talk,504,月詠小萌,
talk,601,月詠小萌,
+tips,0,
talk,602,月詠小萌,
+tips,2600013,
talk,603,月詠小萌,
talk,604,月詠小萌,
+tips,0,
talk,clear,
+talk,show,0,
+月詠小萌.fade,out,0.5,
overlay,0,
front_fader,0,
end,,,,,




