#command,param1,param2,param3,param4,
#,
print,イベント（学園都市奪還戦N）,
talk,show,0,
wait_busy,,,,,
chara,6000101,月詠小萌,10,
front_fader,1,
stage,#00000080,
overlay,1,
talk,1,月詠小萌,
+talk,show,1,
+月詠小萌.fade,in,0.5,
+place,月詠小萌,空白,空白,空白,
talk,2,月詠小萌,
talk,101,月詠小萌,
+tips,2315010,
talk,102,月詠小萌,
talk,103,月詠小萌,
talk,104,月詠小萌,
talk,105,月詠小萌,
talk,106,月詠小萌,
talk,107,月詠小萌,
talk,108,月詠小萌,
talk,109,月詠小萌,
talk,201,月詠小萌,
+tips,2315012,
talk,202,月詠小萌,
talk,203,月詠小萌,
talk,301,月詠小萌,
+tips,0,
talk,302,月詠小萌,
talk,401,月詠小萌,
+tips,2315011,
talk,402,月詠小萌,
talk,403,月詠小萌,
talk,501,月詠小萌,
+tips,2315003,
talk,502,月詠小萌,
talk,601,月詠小萌,
+tips,2315004,
talk,602,月詠小萌,
talk,701,月詠小萌,
+tips,0,
talk,801,月詠小萌,
+tips,2600015,
talk,802,月詠小萌,
talk,901,月詠小萌,
+tips,0,
talk,clear,
+talk,show,0,
+月詠小萌.fade,out,0.5,
overlay,0,
front_fader,0,
end,,,,,




