#command,param1,param2,param3,param4,
#,
print,イベント（異能等級戦TOP）,
talk,show,0,
wait_busy,,,,,
chara,43000101,レイヴィニア＝バードウェイ,10,
front_fader,1,
stage,#00000080,
overlay,1,
talk,1,レイヴィニア＝バードウェイ,,,
+talk,show,1,
+レイヴィニア＝バードウェイ.fade,in,0.5,
+place,レイヴィニア＝バードウェイ,空白,空白,空白,
talk,100,レイヴィニア＝バードウェイ,,,
+tips,3314008,レイヴィニア＝バードウェイ,
talk,101,レイヴィニア＝バードウェイ,,,
talk,102,レイヴィニア＝バードウェイ,,,
talk,200,レイヴィニア＝バードウェイ,,,
+tips,3314002,レイヴィニア＝バードウェイ,
talk,201,レイヴィニア＝バードウェイ,,,
talk,202,レイヴィニア＝バードウェイ,,,
talk,300,レイヴィニア＝バードウェイ,,,
+tips,3314003,レイヴィニア＝バードウェイ,
talk,301,レイヴィニア＝バードウェイ,,,
talk,302,レイヴィニア＝バードウェイ,,,
talk,303,レイヴィニア＝バードウェイ,,,
talk,304,レイヴィニア＝バードウェイ,,,
talk,305,レイヴィニア＝バードウェイ,,,
talk,306,レイヴィニア＝バードウェイ,,,
talk,307,レイヴィニア＝バードウェイ,,,
talk,400,レイヴィニア＝バードウェイ,,,
+tips,3314004,レイヴィニア＝バードウェイ,
talk,401,レイヴィニア＝バードウェイ,,,
talk,402,レイヴィニア＝バードウェイ,,,
talk,403,レイヴィニア＝バードウェイ,,,
talk,500,レイヴィニア＝バードウェイ,,,
+tips,3314006,レイヴィニア＝バードウェイ,
talk,501,レイヴィニア＝バードウェイ,,,
talk,600,レイヴィニア＝バードウェイ,,,
+tips,3314005,レイヴィニア＝バードウェイ,
talk,601,レイヴィニア＝バードウェイ,,,
talk,700,レイヴィニア＝バードウェイ,,,
+tips,3314007,レイヴィニア＝バードウェイ,
talk,701,レイヴィニア＝バードウェイ,,,
talk,702,レイヴィニア＝バードウェイ,,,
talk,703,レイヴィニア＝バードウェイ,,,
+tips,0,
talk,704,レイヴィニア＝バードウェイ,,,
talk,clear,
+talk,show,0,
+レイヴィニア＝バードウェイ.fade,out,0.5,
overlay,0,
front_fader,0,
end,,,,,

