#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,オリジナルメインシナリオ_01 チャプター03,
#,,,魔術の神を助けた後に,,,
#,,,（＊青空などの背景）,
1,日焼けギャル少女,999000101,ぬおお！！　そのカレーパンの袋はあたしのもんだあああ<br>あああああ！！,1,10,
2,一〇〇点メガネ少年,999000101,ふふふバカめ変換効率を考えたら古雑誌の束が一番コスパ<br>が良いと何故計算できないのかねお馬鹿さん達め。,1,10,
3,金髪一軍女子,999000101,ぷっ。自称頭の良い子がバカバカ重複しているわ。,1,10,
4,毒舌図書委員ちゃん,999000101,……じ、自分がそう言われている対象だっていう事には気<br>づいていないのかしら……？,1,10,
#,,,（＊清掃ロボット移動時に鳴る、コンピュータ系のピコピコ効果音を）,,,
5,なきむし不良リーダー,999000101,あああ！　ちょっと清掃ロボ勝手に持っていかないでよオ<br>レサマのゴミい！！,1,10,
#,,,（＊学園都市の街並みの背景）,
6,インデックス,2000101,ふんふーん♪　今日も学園都市はにぎやかなんだよ。,1,12,
7,上条 当麻,1000201,……完全記憶能力のせいか？　上条さんはお前の適応能<br>力の高さに驚愕するばかりだぞ。,1,21,
8,オティヌス,45000701,適応能力の高さについてはお前が言えたクチかよ人間…<br>…。,1,10,
9,上条 当麻,1000201,オティヌス？,1,10,
10,オティヌス,45000701,私はこれでも『グレムリン』を取りまとめ、科学も魔術<br>も散々引っかき回した『魔神』だぞ？,1,10,
11,オティヌス,45000701,つまり世界最大の大罪人だ。,1,11,
12,オティヌス,45000701,ローラとアレイスターの間で密約があるとはいえ、こう<br>して生きている事自体不思議の塊だというのに。,1,11,
13,インデックス,2000101,とうま屋台が出てるよ！　や、やっぱりお祭りは食べ物<br>がいっぱいでとにかくすごい……。,1,17,
14,上条 当麻,1000201,つまりマナーの悪い連中がポイ捨てしまくる注目ゾーン<br>だ。拾うぞインデックス！,1,12,
15,オティヌス,45000701,適応能力の高さよ！！！！！！,1,15,
16,上条 当麻,1000201,でも現実に、『魔神』としての力なんてもうなくなったん<br>だろ？,1,11,
17,オティヌス,45000701,む。,1,11,
18,上条 当麻,1000201,だったらいつまでも脅えている必要なんかないよ。,1,10,
19,上条 当麻,1000201,この世界で生きていく事が罰になるって話だったろ。でも<br>刑務所の中でどう生活するかはこっちの自由だ。,1,10,
20,上条 当麻,1000201,なら目一杯笑って生きれば良いんだ。そこまで指図される<br>いわれはないんだからさ。,1,10,
21,オティヌス,45000701,……ふん。,1,17,
22,上条 当麻,1000201,あれ？,1,21,
23,清掃ロボットＡ,97000106,ゴミを発見しました。,1,10,
24,清掃ロボットＢ,97000106,ゴミを片付けます。,1,10,
25,清掃ロボットＣ,97000106,タスクを達成します。,1,10,
26,上条 当麻,1000201,あの……？　なんか集まってきてる？,1,21,
27,上条 当麻,1000201,じっ冗談じゃねえ！！　せっかく集めたのにロボに横取り<br>されたら俺の稼ぎが減るだけじゃん！！,1,15,
28,清掃ロボットたち,,「清掃活動を実行します」,1,,
29,インデックス,2000101,……これ、とうまが学園都市のゴミ判定されている訳じゃ<br>ないよね？,1,14,
30,清掃ロボット,97000106,対象がゴミを抱えた事により回収困難と判断。,1,10,
31,清掃ロボット,97000106,妨害行為を排撃します。,1,10,
#,,,（＊バトル。ＶＳ清掃ロボット。三機くらい？　勝利すると次のエピソードへ）,
#,,,END,
