#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,オリジナルメインシナリオ_01 チャプター14,
#,,,あらゆる可能性の外側,,,
23,サーティーンデス,241000101,がァああああああああああああああああああああ！！,1,13,
#,,,（＊サーティーンデスのイラストをゆっくり消す。倒れる演出です）,
24,ミサカ一〇〇三一号,21000101,こんな所ですか、とミサカは銃に安全装置を掛けます。,1,11,
25,木原 加群,246000101,だな。,1,12,
26,フレンダ,19000201,結局、ただの<ruby>無能力者</ruby>に負ける気分はどう？　あっはっは<br>復活能力なんてないない！！,1,12,
27,上条 当麻,1000201,……嘘だろ、ほんとに倒しやがった。あのサーティーンデ<br>スを。,1,15,
28,オティヌス,45000701,……。,1,22,
29,上条 当麻,1000201,……あ、アンタ達。一体何なんだ？,1,15,
30,フレンダ,19000201,んーう？,1,17,
31,フレンダ,19000201,……困った事に、結局何で生き返ったのかなんて私も知ら<br>ない訳よ。,1,12,
#,,,END,
