#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,オリジナルメインシナリオ_02 チャプター03,
#,,,生も死も含む,,,
#,,,（＊学園都市、自販機のある公園、昼の背景）,
20,食蜂 操祈,10000201,ぐはあーっ！！,1,16,
21,ドリー,176000801,きゃはー☆,1,12,
22,御坂 美琴,4000202,これが正義よ。,1,10,
23,ミサカ一〇〇三二号,21000201,（まあ第三位と第五位の場合は、精神操作が全く効かない<br><ruby=オリジナル>お姉様</ruby>から一方的に物理で殴りまくりですからね）,1,11,
24,御坂 美琴,4000202,ううー、乾杯したい気分になってきた。ファミレス……は<br>ダメか。よしっ、まあ例の自販機で良いかアンタ達！,1,12,
25,ミサカ一〇〇三一号,21000101,……しかし、これは大丈夫なのでしょうか。,1,15,
26,御坂 美琴,4000202,えー？　何が？,1,12,
27,ミサカ一〇〇三一号,21000101,（現状のミサカネットワークにミサカ一〇〇三一号が自動<br>で接続してしまうと不具合が起きそうなものですが）,1,10,
28,ミサカ一〇〇三二号,21000201,（ビンビン。心で思ってもミサカネットワークを経由すれ<br>ば全部伝わりますよ）,1,10,
29,ミサカ一〇〇三一号,21000101,（きゃあえっち、とミサカ一〇〇三一号はノゾキ野郎へ返<br>礼のお作法を実行します）,1,10,
30,御坂 美琴,4000202,ほら行くわよーアンタ達。,1,10,
31,妹達の皆さん,,「はい<ruby=オリジナル>お姉様</ruby>、承知いたしました」,1,,
#,,,END,
