#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,オリジナルメインシナリオ_02 チャプター07,
#,,,死人は完全防水です,,,
17,フレンダ,19000201,いやー……。,1,12,
18,フレンダ,19000201,結局やれば何とかできるもんだね☆　あっはっは！！,1,12,
19,浜面 仕上,66000101,（……こんなラッキーパンチ、むしろ後が怖い）,1,14,
20,フレンダ,19000201,でも結局やったのは浜面だし助けられただけのか弱い私に<br>は関係ない話だなあ。,1,11,
21,浜面 仕上,66000101,おおおぅい丸っきり助け損！？,1,16,
22,滝壺 理后,20000401,フレンダだ。,1,12,
23,絹旗 最愛,18000401,はいこのゲスっぷり、間違いなく超フレンダですね。,1,12,
24,フレンダ,19000201,ぬおー、勝った勝ーった。,1,12,
25,フレンダ,19000201,しっかし結局この調子だと我が妹はどうするかな。,1,17,
26,フレンダ,19000201,……こういう風に殴り合いにはなりたくないもんだけど。,1,11,
#,,,END,














