#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,オリジナルメインシナリオ_03 チャプター05,
#,,,もう一つの視点,,,
#,,,（＊学園都市、街並み、昼の背景）,
1,脅える少女,999000101,な、何でリターンって次々と蘇ってくるの？,1,10,
2,血走った目の先生,999000101,一回蘇った連中だ。……何回殺しても起き上がるかもしれ<br>ない、倒したからって油断はするなよ！！,1,10,
3,暴発寸前の青年,999000101,リターンを殺せっ、ここは人間達の街だ。あんな化け物に<br>命を奪われてたまるかあーっ！！,1,10,
4,御坂妹,21000201,荒れていますね、とミサカは冷静に評価します。,1,10,
5,御坂 美琴,4000202,正直、リターンとかいうのが理由もなくただ復活した、な<br>んて話は怪しいとは思うけど。,1,14,
6,御坂 美琴,4000202,（でも、なら具体的に何が起きているっていうの？　それ<br>が説明できなきゃあの連中と変わんないか）,1,11,
7,御坂 美琴,4000202,（何かのトリック。……<ruby=・　>未</ruby><ruby=・　>知</ruby>の技術体系？）,1,11,
8,御坂 美琴,4000202,（それでも、もういない人と話ができるなら悪くないかも<br>って思っていたのに……）,1,14,
9,御坂妹,21000201,……。,1,10,
10,地図を確認する少女,999000101,び、病院だわ。結構こっちサイドにもたくさんあるじゃな<br>い！！,1,10,
11,正義を主張する青年,999000101,そうだよ、さっ、先に死体をバラバラにしてしまえば良い<br>んだ！　病院、斎場、後どこにありそうだ！？,1,10,
12,御坂 美琴,4000202,ひどい……。,1,14,
13,御坂妹,21000201,他人事ではありませんよ、とミサカは警戒を促します。<br>いつ非合理的な矛先が向けられるかは……。う。,1,11,
14,御坂 美琴,4000202,ちょっと……ッ！？,1,15,
15,御坂 美琴,4000202,……何これ？　すごい熱じゃない！　いつからこんな風<br>になっていたの、アンタ！？,1,15,
16,御坂妹,21000201,大丈夫、何でも……ありません……。とミサカは……。,1,14,
17,御坂 美琴,4000202,見れば分かる嘘はやめて。,1,20,
18,御坂妹,21000201,それで……ミサカが口を開くとでも？,1,14,
19,御坂 美琴,4000202,言わないなら良い。一人で全部調べるから。,1,20,
20,御坂妹,21000201,はあ……。……くっ……。,1,16,
21,御坂妹,21000201,……あの無鉄砲を繰り返すのだとしたら、全力で止めない<br>といけませんね。,1,16,
#,,,（＊バトル。ＶＳ御坂妹。一人だけか、他に敵が必要なら警備ロボットなど『電気で乗っ取りやすいもの』で。勝利すると以下の会話イベントへ）,
#,,,END,
