#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,オリジナルメインシナリオ_03 チャプター08,
,,,泥沼,,,
#,,,（＊学園都市、街並み、昼間の背景）,
1,上条 当麻,1000201,拝啓。お父さん、お母さん、学園都市は今日も見事に平常<br>運転、つまりとびきりヤバいです。,1,11,
2,上条 当麻,1000201,命からがらやっとバリケードの内側に逃げ込んだと思った<br>らそこはリターンの溢れ返った死者の国でした。,1,21,
3,多分よみがえった人,999000101,異物だ、異物が混じっているぞ！,1,10,
4,逆に血色の良いお姉さん,999000101,どこ行ったのよあの子達、リターン以外を学区の内側にな<br>んか入れておける訳ないじゃない！　捜せ捜せえ！！,1,10,
5,フレンダ,19000201,……これ多分こっちに乗っかった方が楽して生きていける<br>な？　ぬおーッ！　結局裏切り者は火炙りにしろお！！,1,13,
6,上条 当麻,1000201,うわああああああん！！,1,14,
7,シティマカーブル,242000101,あの人何で死んだか一目で分かりそうなくらい清々しいゲ<br>スっぷりしているわね……。,1,14,
8,上条 当麻,1000201,とにかくこっちに！！,1,20,
#,,,（＊背景を学園都市、路地裏、昼間のものに変更）,
9,上条 当麻,1000201,……。,1,21,
#,,,（＊バタバタバタ、という走る効果音。表通りを複数の人間が走っていく演出です）,,,
10,上条 当麻,1000201,い、行った、か？,1,21,
11,シティマカーブル,242000101,いえ、違うカナ。まだよ！！,1,15,
#,,,（＊１２と１３は黒服ですが、まだイラストは表示しません。１４で初めてイラスト表示。旧１９辺りで潮岸を守っていたはずの、いつの間にか死んでいた雑魚黒服のイメージです。）,
12,？？？,999000101,……は。,1,20,
13,？？？,999000101,潮岸さんは、もういない。,1,20,
14,潮岸の黒服,508000106,なら後は自分を守るだけだ！！,1,13,
#,,,（＊バトル。ＶＳ黒服達。勝利すると以下の会話イベントへ）,
#,,,END,









