#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,オリジナルメインシナリオ_03 チャプター12,
#,,,菓子パンと女の子,,,
#,,,（＊学園都市、街並み、夕方の背景）,
1,強くなりたいお兄ちゃん,999000101,おおおお。おおおおおおお……。,1,10,
2,冷静な弟ちゃん,999000101,アニキ！　不気味になれば強そうに見えますけどやめまし<br>ょうよ、俺達生き返ったんですから！！,1,10,
#,,,（＊足音の効果音）,,,
3,上条 当麻,1000201,行った？,1,10,
4,上条 当麻,1000201,リターンのヤツら行ったか？,1,10,
5,シティマカーブル,242000103,大丈夫みたいカナ、もうトラックの下から出てきても。む<br>ぎゅう。息が詰まりそう。,1,11,
6,上条 当麻,1000201,こっちはそのデカい鎌のせいで気が気じゃなかったよ。て<br>いうか何それ？,1,10,
7,シティマカーブル,242000103,護身用。<ruby=こうどやきいれそうさこう>高度焼入操作鋼</ruby>よ。,1,11,
8,シティマカーブル,242000103,刃物に限って言えば得体のしれない下手な新素材より数値<br>を操作して鋼を極めた方が効果的ナノよね。,1,10,
9,上条 当麻,1000201,（……って事はやっぱりシティマカーブルは科学サイド。<br>変な術式を使う魔術師ではない、と）,1,20,
10,上条 当麻,1000201,（復活関係で一番怪しいのって、サーティーンデスなんだ<br>よな。<ruby=・　>檻</ruby><ruby=・　>の</ruby><ruby=・　>中</ruby><ruby=・　>で</ruby><ruby=・　>も</ruby><ruby=・　>魔</ruby><ruby=・　>術</ruby><ruby=・　>は</ruby><ruby=・　>使</ruby><ruby=・　>え</ruby><ruby=・　>る</ruby>訳だし）,1,11,
11,上条 当麻,1000201,（……ちくしょう、第七学区の留置場はバリケードの向こ<br>うか。今あの女がどうなってるか知りたいのに）,1,11,
12,上条 当麻,1000201,はあ。それにしても……。,1,10,
13,上条 当麻,1000201,無人のコンビニも何だかんだで責任者のＩＤがないと動か<br>ないのな。,1,10,
14,上条 当麻,1000201,ネット通販とかビューバーとかもサイバーっていうか無人<br>のイメージだけど、結局は人力頼みだもんなあ……。,1,10,
15,上条 当麻,1000201,まともに使えるのはパンの自販機くらいか。,1,11,
#,,,（＊ピッ、と自販機で購入する電子音を。柔らかいパンを扱う自販機なので、『商品が落ちてくる音』はあんまり聞こえないかな？　と思いますので）,,,
16,上条 当麻,1000201,ほらこれ。,1,10,
17,シティマカーブル,242000103,？,1,10,
18,上条 当麻,1000201,不思議そうな顔してないで。お前の分のパンだよ。,1,12,
19,シティマカーブル,242000103,わたしは大丈夫ナノに。,1,12,
20,上条 当麻,1000201,いいから。,1,10,
21,シティマカーブル,242000103,じゃあこれは、いざって時のために取っておこうカナ。あ<br>なたが栄養失調で目を回さないように。,1,12,
22,上条 当麻,1000201,……。,1,12,
#,,,（＊かさっ、という効果音。ビニール袋を踏んだような？）,,,
23,上条 当麻,1000201,っ？,1,11,
24,シティマカーブル,242000103,しっ！　……いるわね。こっちのリターン学区なら死んだ<br>事ない人の方が珍しいのかもしれないけど。,1,16,
25,地獄の底から帰ってきた人,999000101,へっへっへ。この状況で若い姉ちゃんとイチャイチャとは<br>良いご身分じゃねえか。,1,10,
26,おなかをすかせた不良,999000101,食べ物だ、食べ物持ってるよこの人達！！,1,10,
27,死んでも直らなかったバカ,999000101,人を肝試し感覚でだしに使いやがって。バカップル！<br>ぐえへへへ持ってるもの全部こっちによこしなア！！,1,10,
28,上条 当麻,1000201,この安定のモンスター化。一回死んでリターンになって<br>もお前達ってそんな感じなの！？,1,15,
#,,,（＊バトル。ＶＳ不良×３。勝利すると次のエピソードへ）,
#,,,END,
