#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,オリジナルメインシナリオ_04 チャプター01,
,,,闇を祓う雷光,,,
#,,,（＊学園都市、表通り、夜の背景）,
#,,,（＊爆発の効果音と画面揺らしを何度か。バリケードの向こうで上条やシティマカーブルが戦っている演出ですが、こちらからでは見えません）,,,
1,トール,99000101,ふーむ、ふむふむふむ。,1,20,
2,トール,99000101,今回は勘が外れるなあちくしょう。あちこち歩いた上に空<br>振りかよ、祭りは向こうで始まってるじゃねえか。,1,13,
3,トール,99000101,バリケードの厚さは……素材はただの特殊鋼じゃねえな。<br>何で複合装甲なんて民間に転がってんだこの街は？,1,11,
4,レイヴィニア,43000101,待て。何をするつもりだ？,1,14,
5,トール,99000101,何って。,1,10,
6,レイヴィニア,43000101,私だって分かっている。ここは能力者の街だ。こんなバリ<br>ケード、物理的には意味がない事くらい。,1,11,
7,レイヴィニア,43000101,だけど無意味な事でも心の安定には役立つ。,1,20,
8,レイヴィニア,43000101,どこか一ヶ所に穴ができれば、群衆は一気に恐慌状態に陥<br>るぞ。生きている側も、死んでいる側もな。,1,13,
9,トール,99000101,だあって。,1,13,
10,トール,99000101,シティマカーブルだっけか？　どうやら騒ぎの中心はバリ<br>ケードの向こう側みたいじゃねえか。,1,11,
11,トール,99000101,だったら向こうに行くしかねえ。,1,12,
12,トール,99000101,……サーティーンデスの時はあれだけ期待して喰いそびれ<br>たんだぜ？　流石に二回連続は耐えられねえよ。,1,13,
13,レイヴィニア,43000101,……。,1,11,
14,トール,99000101,そんな訳だ、学園都市まで案内ごくろーさん。ここから先<br>は俺が勝手にやるから、付き合う義理はねえぞ？,1,11,
15,レイヴィニア,43000101,ふむ。,1,20,
#,,,（＊閃光と何かしらの爆発音。バードウェイが魔術を使った演出です）,,,
16,トール,99000101,……何の真似かな、お嬢ちゃん。,1,11,
17,レイヴィニア,43000101,今さらよせよ、一定以上の実力があれば老若男女容赦なし<br>だろう？　貴様の場合。,1,14,
18,レイヴィニア,43000101,つまりシティマカーブルかどうかは関係ない。,1,10,
19,レイヴィニア,43000101,こうして私が立ち塞がれば、お前の欲は満たされる訳だ。,1,10,
20,トール,99000101,長いしー、サムネでまとめてくれねえ？　その心は？,1,10,
21,レイヴィニア,43000101,お前が向こうに介入すれば、何かしらの決着はつくかもし<br>れん。ただしそれは血みどろの何かだ。,1,10,
22,レイヴィニア,43000101,そいつは一般的に、余計なお世話って言うんだよ。ここま<br>で来たんだ、素直にあの男に任せておけ。,1,11,
23,トール,99000101,なるほど、愛しいお兄ちゃん関係か。,1,12,
24,レイヴィニア,43000101,訳もなくぶっ殺したくなる理由をわざわざ追加してくるん<br>じゃない、戦闘バカ。,1,13,
25,トール,99000101,いやあ、こっちとしてもありがたいんだよ。,1,11,
26,トール,99000101,だってほら、恋愛が絡むと女の子って無敵モードになるん<br>だろ？,1,12,
27,レイヴィニア,43000101,……魔法名を名乗って殺すけど、未練はないな？,1,22,
#,,,（＊バトル。ＶＳトール。勝利すると以下の会話イベントへ）,
#,,,END,
