#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,オリジナルメインシナリオ_03 チャプター02,
,,,乱れ飛ぶ死の大鎌,,,
#,,,（＊学園都市、街並み、夜の背景）,
1,シティマカーブル,242000101,ぐああああああああああああ！！　ああああああああああ<br>ああああああああああああああああああ！！,1,21,
2,上条 当麻,1000201,くそっ、止まらない……ッ！！,1,13,
3,上条 当麻,1000201,（中身は純粋な機械なんだっけか？）,1,13,
4,上条 当麻,1000201,（それじゃ腹を殴っても襟で首を絞めても動きを止められ<br>るかどうか。麻酔銃やゴム弾も通じないだろうし……）,1,13,
5,上条 当麻,1000201,（最悪、切手より小さなチップ一つが無事なら延々戦いま<br>すって話かもしれないぞ！！）,1,13,
6,シティマカーブル,242000101,出て、大鎌。そして自在に飛翔なさい。,1,13,
#,,,（＊電気シェーバーのような効果音？　高速回転する大鎌が、シティマカーブルの隣でふわりとホバリングしています）,1,,
7,上条 当麻,1000201,っ！？,1,15,
8,上条 当麻,1000201,（巨大な刃物……ホバリングするのかよ！？　いくつ隠し<br>球があるんだこいつ！）,1,15,
9,シティマカーブル,242000101,……わたしは正しい事をした。,1,11,
10,シティマカーブル,242000101,誰だって死が怖い。自分が死ぬよりも、大切な人に死なれ<br>る方がずっと怖いんダヨ！！,1,13,
11,上条 当麻,1000201,……。,1,11,
12,シティマカーブル,242000101,だからわたしは現実に死を消し去った。,1,14,
13,シティマカーブル,242000101,この世界から、いらないものを取り除いた。,1,10,
14,シティマカーブル,242000101,泣き叫ぶ人達を見ていられなかったから！　わたしなら身<br>近な人の死に押し潰されるみんなを助けられるから！！,1,14,
15,シティマカーブル,242000101,……わたしなら解決できる。,1,13,
16,シティマカーブル,242000101,それだけだった……。それだけだったのに。,1,14,
17,シティマカーブル,242000101,何でこんな話になっているのよオおおおおおおおおおおお<br>おおおおおおおおおおおおおおお！？,1,21,
18,上条 当麻,1000201,……それは多分、違う。,1,10,
19,上条 当麻,1000201,確かに死ぬのは怖い。身近な人に死なれるのはもっと恐ろ<br>しい。,1,11,
20,上条 当麻,1000201,でもそういう人達だって、こんなのが見たかった訳じゃな<br>いんだ！,1,20,
21,上条 当麻,1000201,混乱の中でいがみ合って、思い出を汚されたい人なんてど<br>こにもいないんだよ！,1,20,
22,シティマカーブル,242000101,知らない。,1,11,
23,シティマカーブル,242000101,……だって、どんな形であっても物理的に実現できるんダ<br>ヨ。,1,13,
24,シティマカーブル,242000101,救える方法が手の中にあって、苦しんでいる人がすぐそこ<br>にいて！,1,13,
25,シティマカーブル,242000101,そんな定義もできない感情論が、確実に人を救える力を使<br>わない理由になんかなるかアアア！！,1,21,
#,,,（＊バトル。ＶＳシティマカーブル。三章と差別化したいので、こちらではリモートで飛び回る大鎌ありで。勝利すると次のエピソードへ）,
#,,,END,
