#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,オリジナルメインシナリオ_04 チャプター07,
#,,,庭の外,,,
#,,,（＊ロンドン、街並み、昼の背景）,
15,サーシャ,34000101,……ッ！！,1,16,
16,ローラ,26000101,どうしたるの正義？　あはは身勝手を極めし人の力とはそ<br>んなものかあ！？,1,12,
17,ワシリーサ,62000101,あらあらサーシャちゃん、そんなに先走っちゃって。国際<br>問題でも起こしたいのかしら？,1,10,
18,ワシリーサ,62000101,変に義理堅いんだから。デンマークでオティヌス共々、一<br>般人の彼を追い回した事、地味に気にしているの？,1,10,
19,ローラ,26000101,あなたが懲罰したればお咎めなしにできたるとでも？,1,11,
20,ワシリーサ,62000101,ああん☆　愛しのサーシャちゃんを合法的に暗い地下室に<br>連れていって思う存分おしおきモードだなんて！！,1,12,
21,ワシリーサ,62000101,それってよだれが止まらないほど魅力的な提案だけど、そ<br>の前に一つだけ。,1,12,
22,ローラ,26000101,何か？,1,11,
23,ワシリーサ,62000101,うふふ、年齢不詳の美人さん。,1,10,
24,ローラ,26000101,……あなたに言われる筋合いはなきにつきと思うけどね、<br>絵本のヒロインさん。,1,11,
25,ワシリーサ,62000101,私達は、少しずつだけど<ruby=・　>気</ruby><ruby=・　>づ</ruby><ruby=・　>き</ruby><ruby=・　>つ</ruby><ruby=・　>つ</ruby>あるわよ？,1,10,
26,ローラ,26000101,……。何の話なりけるかしら？,1,11,
27,ワシリーサ,62000101,いえいえ、うふふ。,1,12,
28,ワシリーサ,62000101,もちろん当方の勘違いであればと願っているわ。ちょっと<br>お互いにお菓子を持って謝れば済む話だし。,1,10,
29,ワシリーサ,62000101,どうかどうか、あんまり人間から外れた言動は控えてくだ<br>さいな？,1,11,
30,ワシリーサ,62000101,不死に片足突っ込んだくらいなら『まだ』許容の範囲では<br>あるけれど。,1,11,
31,ワシリーサ,62000101,私達、ロシア成教は。,1,10,
32,ワシリーサ,62000101,『人間とは呼べない存在』が起こす暴虐に対しては一切の<br>容赦をしない宗派なので☆,1,12,
#,,,（＊ワシリーサ、サーシャのイラストを消す。立ち去った演出です）,
33,ローラ,26000101,……。,1,11,
34,ローラ,26000101,ふっ。それで釘を刺したるつもり？,1,12,
#,,,（＊画面を暗転、ローラのイラストも消す。闇の中で声だけ響くような演出で）,
35,ローラ,26000101,……愚かしい。疑惑だなんて、あってなきようなものなり<br>しなのに。,1,10,
#,,,（＊次の？？？はコロンゾンですが、声の質感はローラのままで問題なしです）,
36,？？？,26000101,それを確信に変えたるのが、本当に難しきという話よ。き<br>ひひ。,1,-2,
#,,,END,
