#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,オリジナルメインシナリオ_04 チャプター08,
,,,試練,,,
#,,,（＊学園都市、街並み、夜の背景）,
1,上条 当麻,1000201,終わった……。,1,16,
2,上条 当麻,1000201,シティマカーブルは、止まった。これでひとまず問題は全<br>部解決、なのか？,1,11,
3,木原 加群,246000101,そうだな。,1,14,
4,木原 加群,246000101,……じゃあ後は私達のケリをつけてくれれば全部解決だ。,1,20,
5,上条 当麻,1000201,ッ！？,1,15,
#,,,（＊白のフラッシュと打撃音。木原加群が上条に攻撃して、上条が思わず身構えた演出です）,,,
6,上条 当麻,1000201,痛っつ……ッ！？,1,16,
7,木原 加群,246000101,そうだ、それで良い。,1,12,
8,木原 加群,246000101,きちんと構えろ。全力で事に当たれ。君が今まで見てきた<br>通り、私達は強いぞ。,1,10,
9,上条 当麻,1000201,何で……っ？　何でここまできて俺達が戦わなくちゃなら<br>ないんだ！？,1,20,
10,木原 加群,246000101,私達はリターン、死人だ。ここにいるだけで社会を歪めて<br>しまう。現に学園都市は二つに分かれたままだろう？,1,10,
11,上条 当麻,1000201,死ぬ事はない！　新しく生まれた命なら、ようはクロー<br>ン人間とかと一緒だろ！？,1,20,
12,木原 加群,246000101,意味合いが違うよ。人工的な双子に近いクローンとは違<br>い、私達はオリジナルの立場を乗っ取る形で存在する。,1,11,
13,木原 加群,246000101,死人に口なしだが、混乱するのは本人よりもむしろ周り<br>の人達だろう。,1,15,
14,上条 当麻,1000201,でもっ……。,1,15,
15,木原 加群,246000101,裏側にある仕組みを語っている私自身、自分を木原加群<br>として認識しているんだ。,1,15,
16,木原 加群,246000101,誰に強いられた訳でもなく同じ服や装備を揃えたがるの<br>もそう。,1,14,
17,木原 加群,246000101,別人である事を押しつけられればおそらく拒否反応が出<br>る。そういう新しい枠には収まれない。,1,11,
18,上条 当麻,1000201,……。,1,13,
19,木原 加群,246000101,これが似ても似つかない怪物なら問題ないが、外から見<br>分けがつかないくらいに精巧だ。,1,10,
20,木原 加群,246000101,しかも記憶も意識もきちんとある。,1,11,
21,木原 加群,246000101,別の誰かとして生きろと言われれば、どれだけ努力をし<br>ても馴染めず最後は抵抗する側に転がるだろう。,1,14,
22,木原 加群,246000101,その上、個々人が無秩序に暴れるだけの化け物じゃあな<br>い。集団を作り持てる力を全て注ぐ格好で、だ。,1,14,
23,木原 加群,246000101,これは善悪じゃないんだ。遺産の相続や権力の椅子、人<br>が死んで確定した事実が一斉に揺らぐ。,1,15,
24,木原 加群,246000101,いや、そういう脅えが蔓延するだけで、学園都市の外の<br>世界にまでパニックは広がる。多くの人が死ぬぞ。,1,11,
25,上条 当麻,1000201,いやだ！！,1,20,
26,木原 加群,246000101,そんな感情で選択できるほど、今は甘い状況じゃない。,1,14,
27,木原 加群,246000101,そもそもリターンは無から有を作る。,1,11,
28,木原 加群,246000101,今はシティマカーブルとやらに制御されているが、じき<br>に<ruby=くびき>軛</ruby>は断ち切られるだろう。,1,14,
29,木原 加群,246000101,……さっきはああ言ったが。,1,11,
30,木原 加群,246000101,いつか、人の外見をなくし、自発的に数を増やしていく<br>ようになる。そうなれば騒ぎの種類が変わるぞ。,1,20,
31,上条 当麻,1000201,だから！！　つまりそれはきちんと生きているって事じ<br>ゃあないのか！？,1,20,
32,木原 加群,246000101,考える死人だよ。学園都市を二分する戦いになればこの<br>街は滅び、外に広がる世界は恐怖で染まる。,1,10,
33,木原 加群,246000101,サンゴ礁のサンゴは小さな動物という話は知っているか<br>な。死骸が集まって、時には島を作るという事は？,1,10,
34,木原 加群,246000101,勝手に増えて積み重なったリターンの残骸は、世界地図<br>さえ上書きするかもしれないんだぞ。,1,15,
35,上条 当麻,1000201,っ。,1,16,
36,木原 加群,246000101,君はもう分かっていると思う。誰かが幻想を殺さなくて<br>は、学園都市は、この世界は元に戻らないんだ。,1,10,
37,上条 当麻,1000201,……、ない。,1,16,
38,上条 当麻,1000201,お前達は幻想なんかじゃない！！　絶対に違う！！！！<br>！！,1,13,
#,,,次で笑顔になった後に真顔の戦闘モードに戻ります,
39,木原 加群,246000101,……。,1,12,
40,木原 加群,246000101,来い。君の手でこの騒動を終わらせてくれ。,1,20,
#,,,（＊バトル。ＶＳ木原加群。勝利すると次のエピソードへ）,
#,,,END,
