#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,オリジナルメインシナリオ_04 チャプター09,
,,,レールチェンジ,,,
#,,,（＊学園都市、街並み、夜の背景）,
31,一方通行,13000901,っ。,1,16,
32,上条 当麻,1000201,行け。,1,16,
33,駒場 利徳,65000101,しかし。,1,13,
34,上条 当麻,1000201,行けっつってんだろうが！！,1,13,
35,上条 当麻,1000201,お前達にもう時間がなかったとしても。このままだった<br>らひどい事になるとしても。,1,20,
36,上条 当麻,1000201,抗え。,1,20,
37,上条 当麻,1000201,自分からチャンスを捨てるな！,1,20,
38,上条 当麻,1000201,自分でできなきゃ誰かを頼れ。俺だってその一人だ！！,1,20,
39,上条 当麻,1000201,最後の一秒まではお前達の時間だ！！　誰にも横から奪<br>う権利なんかねえんだよ！！,1,20,
40,駒場 利徳,65000101,……。,1,11,
41,駒場 利徳,65000101,遠のくぞ、その選択肢は。最善と呼ばれる道から。,1,16,
#,,,（＊駒場利徳のイラストを消す）,
42,上条 当麻,1000201,うるせえよ。,1,13,
43,上条 当麻,1000201,……俺だって、何が正解かなんて断言できねえよっ。,1,13,
44,上条 当麻,1000201,（でも）,1,11,
45,上条 当麻,1000201,間違いなく、命の恩人なんだ。,1,23,
46,上条 当麻,1000201,答えが出ないから諦めますが通じるほど軽い存在じゃね<br>えだろ、お前達は……。,1,11,
#,,,END,
