#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,オリジナルメインシナリオ_04 チャプター13,
,,,とある少女,,,
#,,,（＊学園都市、街並み、夜の背景）,
1,フレンダ,19000201,……結局、いよいよ私で最後って訳か。,1,11,
2,上条 当麻,1000201,ああ。,1,10,
3,フレンダ,19000201,リターンを微生物みたいにしてみんなを生き残らせる？<br>質量の増殖から複雑化に条件を移す？,1,14,
4,フレンダ,19000201,結局、とんでもない話になってきた訳よ。,1,20,
5,上条 当麻,1000201,俺達が外から内部の話を読み取れる技術を創れるかはは<br>っきりしてない。,1,11,
6,上条 当麻,1000201,だけど、お前達は確かにここに居続けられる。それだけ<br>は事実だ。,1,10,
7,フレンダ,19000201,それにしても、ゲームセンターのコイン、ねえ。,1,11,
8,上条 当麻,1000201,？,1,23,
9,フレンダ,19000201,案外それ、ひとりでに動き出す日が来るかもね。こっく<br>りさんみたいに。,1,10,
10,フレンダ,19000201,こっちの内部から大きな外に向けて、みんなでメッセー<br>ジを書き残せるようにさ。,1,12,
11,上条 当麻,1000201,……。,1,11,
12,フレンダ,19000201,……これで終わりじゃない。細いけど、私達はまだ繋が<br>れる訳よ。,1,10,
13,フレンダ,19000201,じゃあ結局、やるならさっさとやらなくちゃね。,1,12,
14,フレンダ,19000201,恐怖のトリガー？　まだ私には足りないみたいだし。,1,11,
15,上条 当麻,1000201,フレンダ……。,1,11,
16,フレンダ,19000201,最後に付き合ってよ。,1,12,
17,フレンダ,19000201,第一位とか第三位とか、ああいう怪物の手で順当にやら<br>れておしまいっていうのはつまらないしさ。,1,12,
18,上条 当麻,1000201,……。,1,11,
19,フレンダ,19000201,やっぱり最後に気分良く戦う相手くらいはこっちで選び<br>たい訳よ。巻き込んじゃって申し訳ないけど。,1,12,
20,上条 当麻,1000201,……それで、良いのか？,1,10,
21,フレンダ,19000201,結構魅力的な話だと思うよ？　自分の価値に気づきなさ<br>いって。,1,12,
22,フレンダ,19000201,……<rubypos><ruby=・　>仮</ruby><ruby=・　>に</ruby><ruby=・　>ど</ruby><ruby=・　>こ</ruby><ruby=・　>か</ruby><ruby=・　>で</ruby><ruby=・　>ア</ruby><ruby=・　>ン</ruby><ruby=・　>タ</ruby><ruby=・　>に</ruby><ruby=・　>倒</ruby><ruby=・　>さ</ruby><ruby=・　>れ</ruby><ruby=・　>て</ruby><ruby=・　>い</ruby><ruby=・　>た</ruby><ruby=・　>ら</ruby>、<ruby=・　>そ</ruby><ruby=・　>も</ruby><ruby=・　>そ</ruby><ruby=・　>も</ruby><ruby=・　>道</ruby><br><ruby=・　>は</ruby><ruby=・　>違</ruby><ruby=・　>っ</ruby><ruby=・　>て</ruby><ruby=・　>い</ruby><ruby=・　>た</ruby><ruby=・　>の</ruby><ruby=・　>か</ruby><ruby=・　>な</ruby><ruby=・　>あ</ruby>、<ruby=・　>と</ruby><ruby=・　>か</ruby></rubypos>。,1,10,
23,上条 当麻,1000201,……。,1,11,
24,フレンダ,19000201,だから暗い顔する必要ないんだって。,1,10,
25,フレンダ,19000201,お膳立ては木原加群がしたかもしれない。,1,10,
26,フレンダ,19000201,最終的にはリターンって呼ばれる私達が勝手に適応した<br>だけかもしれない。,1,11,
27,フレンダ,19000201,でも、それは黙っているだけで確実にもらえる恩恵って<br>訳じゃない。,1,11,
28,フレンダ,19000201,結局アンタががむしゃらに抵抗してくれたから、何とか<br>時間が間に合ったって事なんでしょ？,1,10,
29,フレンダ,19000201,眩しいよ。救いに決まっているじゃん、そんなの。,1,17,
30,上条 当麻,1000201,っ。,1,23,
31,フレンダ,19000201,さあ、リクエストに応えてちょうだい。,1,11,
32,フレンダ,19000201,結局、全力で思いっきりぶつかるって訳よ！！,1,12,
#,,,（＊バトル。ＶＳフレンダ＝セイヴェルン。勝利すると以下の会話イベントへ）,
#,,,END,
