#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,オリジナルメインシナリオ_04 チャプター14,
,,,終結,,,
#,,,（＊背景、画面を白一色に）,
#,,,（＊ゆっくりと背景を変えていく。学園都市、街並み、昼の背景に。夜が明けた演出です）,
#,,,（＊１、２は上条のイラストなしで。ナレーション風の独り言です）,
1,上条 当麻,1000201,……こうして事件は終わった。,1,23,
2,上条 当麻,1000201,学園都市はそこにあって、世界は変わらなかった。,1,10,
#,,,（＊ここから普通にイラストありの会話です）,
3,インデックス,2000101,とうま！,1,12,
4,上条 当麻,1000201,大丈夫。,1,12,
5,上条 当麻,1000201,リターンの人達はどんな形になろうがひとまず無事だし。,1,10,
6,上条 当麻,1000201,シティマカーブルとはケリをつけた。<ruby>警備員</ruby>に預けたし、<br>もうあんな事件は起こらないと思う。,1,10,
7,上条 当麻,1000201,生死の壁を越える怖さは骨身に染みたはず。,1,11,
8,上条 当麻,1000201,街だって元通りだ。放っておけばみんな過去のものなんだ<br>ろうな。,1,10,
9,オティヌス,45000701,イギリス清教送りではないという事は、シティマカーブル<br>とやらの正体は科学サイドか。,1,11,
10,オティヌス,45000701,（ただ単純に作ったモノが逃げ出したのか）,1,22,
11,オティヌス,45000701,（あるいはこの小さな箱庭がどれだけの異常事態に耐えら<br>れるかの負荷実験だったのか）,1,23,
12,オティヌス,45000701,（……あの『人間』の場合、どっちもありえるから読みに<br>くいんだよな）,1,21,
13,インデックス,2000101,がるぐる！　私はお腹がすいたんだよ！！,1,13,
14,上条 当麻,1000201,ヤバいインデックスがいつも通り過ぎる！？,1,21,
#,,,END,
