#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,01章 チャプター09,
#,,,人工雨,
1,ステイル,24000101,…………。,1,14,
,,,#【学生寮】,
2,ステイル,24000101,……火災報知器のベル？　やつの仕業か。<br>くそっ、スプリンクラーまで作動して……。,1,13,
3,ステイル,24000101,まさか<ruby>魔女狩りの王</ruby>の炎を消すために……？<br>チッ、そんなつまらない理由でずぶ濡れにされたのか。,1,13,
4,上条 当麻,1000101,ご機嫌斜めみたいだな、魔術師。,1,10,
5,ステイル,24000101,……<ruby>魔女狩りの王</ruby>はどうしたんだ。,1,13,
6,上条 当麻,1000101,消したよ。スプリンクラーで。,1,11,
7,ステイル,24000101,まさか！　<ruby>魔女狩りの王</ruby>は三千度の炎の塊！<br>この程度の雨で鎮火するものか！,1,15,
8,上条 当麻,1000101,バーカ。炎じゃねぇよ。<br>テメェは人ん家に何ベタベタ貼り付けてやがった？,1,10,
9,ステイル,24000101,――！,1,15,
,,,#壁や天井に貼り付けられたルーンの紙が濡れている。,,,
10,上条 当麻,1000101,ったく、参ったぜ。アンタすげぇよ。正直、ナイフか<br>何かでルーンが刻まれてたら勝ち目ゼロだったよ。,1,20,
11,ステイル,24000101,ふ――はははははっ！　やるじゃないか、君！<br>でも経験が足りないかなぁ。,1,11,
12,ステイル,24000101,僕のルーンが刻まれたコピー用紙はトイレットペーパー<br>じゃないんだよ？,1,10,
13,ステイル,24000101,たかが水に濡れた程度で、完全に溶けてしまう程<br>弱くはないのさ！,1,16,
14,ステイル,24000101,――殺せ。<ruby>魔女狩りの王</ruby>。,1,,
,,,#END,



































































