#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,01章 チャプター10,
#,,,地獄の底から,
,,,#上条が右手でイノケンティウスをかき消す。,,,
,,,#【学生寮】,
1,ステイル,24000101,ば、馬鹿なッ！　<br>僕のルーンはまだ死んでないはずなのに！,1,15,
2,上条 当麻,1000101,――インクは？,1,10,
3,ステイル,24000101,ッ！？,1,15,
4,上条 当麻,1000101,コピー用紙は破れなくても、<br>水に濡れりゃインクは落ちちまうんじゃねぇか？,1,10,
5,ステイル,24000101,そんな……イ、イノケン……ティウス。<br>来い、来るんだっ、<ruby>魔女狩りの王</ruby>！,1,15,
6,上条 当麻,1000101,さて、と……。,1,10,
7,ステイル,24000101,は、灰は灰に……塵は塵にッ、吸血殺しの――,1,16,
8,上条 当麻,1000101,（そうだよな……インデックス。<br>地獄の底までついて行きたくなけりゃ……）,1,11,
9,上条 当麻,1000101,地獄の底から、引きずり上げてやるしか……ねーよなぁ！,1,20,
10,ステイル,24000101,ひッ……！,1,16,
,,,#上条、ステイルを殴る。,,,
,,,#END,






































































