#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,05章 チャプター12,
#,,,怪人チビ毛布,
#,,,VS不良,
#,,,#アニメシーン画像より。蹲る不良たち。<br>#去る、一方通行。,
#,,,#【学園都市・路上】,
1,不良,999000101,くそったれ……このバケモノが！　,1,10,
2,一方通行,13000101,無駄な音は反射、と。,1,11,
#,,,#時間経過,
3,一方通行,13000101,（一体、俺の何が変わったっていうンだ……）,1,23,
4,一方通行,13000101,何か違うよなァ……やっぱ何かが変わったンだ。<br>でも、何が変わった？,1,23,
5,一方通行,13000101,なーンなーンですかァ？,1,22,
#,,,#アニメシーン画像より。街を歩く一方通行、後ろからついてくる打ち止め（数カット）<br>#打ち止め、一方通行に何かを喋っている。<br>#一方通行、打ち止めに気づく。,
#,,,#【学園都市・路上】,
6,？？？,22000701,――――。,1,10,
7,一方通行,13000101,（あン？　何言ってンだ？　この怪人チビ毛布は……。<br>あァ、音反射してンだったな）,1,20,
8,？？？,22000701,いやー、なんというかここまで完全無反応だと<br>むしろ清々しいというか。,1,11,
9,？？？,22000701,これはもしかして究極の天然さんなのかなーって、<br>ミサカはミサカは首をかしげてみたり。,1,10,
10,一方通行,13000101,……くっだらねェ。,1,22,
11,？？？,22000701,さっきからミサカはミサカは自己の存在を激しく<br>アピールしているのに存在全否定？,1,13,
12,一方通行,13000101,……待て、ミサカだと？,1,15,
13,？？？,22000701,おおっ、ようやくミサカの存在が認められたよわーい<br>って、ミサカはミサカは自画自賛してみたり。,1,12,
14,一方通行,13000101,オマエ、その毛布取っ払ってよく顔見せてみろ。,1,20,
15,？？？,22000701,って、まさか往来で女性に服を脱げというのは<br>いささか大胆というか無茶というか……。,1,17,
#,,,#アニメシーン画像より。打ち止めの毛布を剥ぎ取る一方通行。<br>#裸の打ち止め。,
#,,,#END,


























































